Order ID,Order Date,Order Quantity,Sales,Profit,Unit Price,Shipping Cost,Zip Code,Region,Customer Segment,Product Category,Product Sub-Category,Product Base Margin,Ship Date
194,2/16/2012,6,20.19,-13.44,3.14,1.92,30002,South,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",0.84,2/18/2012
195,11/9/2010,34,1315.74,260.87,36.55,13.89,6074,East,Home Office,Office Supplies,Pens & Art Supplies,0.41,11/11/2010
197,2/17/2011,23,310.52,33.22,12.98,3.14,45999,Central,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",0.6,2/19/2011
224,4/30/2009,25,184.86,-33.95,7.38,5.21,6439,East,Corporate,Furniture,Office Furnishings,0.56,5/1/2009
224,4/30/2009,33,528.5,-149.92,15.42,10.68,6439,East,Corporate,Office Supplies,Storage & Organization,0.58,5/1/2009
224,4/30/2009,44,267.85,-65.43,5.98,5.15,6439,East,Corporate,Office Supplies,Paper,0.36,5/1/2009
225,4/6/2011,24,126.58,18.27,5.58,0.7,27801,South,Home Office,Office Supplies,Pens & Art Supplies,0.6,4/7/2011
225,4/6/2011,1,23.7,-8.97,19.84,4.1,27801,South,Home Office,Office Supplies,Pens & Art Supplies,0.44,4/8/2011
229,11/10/2010,24,599.1,3.8165,24.92,12.98,39901,South,Consumer,Office Supplies,Binders and Binder Accessories,0.39,11/11/2010
229,11/10/2010,43,586.11,98.44,12.64,4.98,2139,East,Consumer,Furniture,Office Furnishings,0.48,11/12/2010
230,9/8/2010,47,2029.75,320.37,43.98,8.99,77474,Central,Corporate,Office Supplies,Pens & Art Supplies,0.58,9/10/2010
230,9/8/2010,11,1118.396,-212.333,125.99,8.08,77474,Central,Corporate,Technology,Telephones and Communication,0.57,9/10/2010
231,8/11/2009,2,689.74,-490.84,363.25,19.99,62999,Central,Small Business,Office Supplies,Appliances,0.57,8/13/2009
258,11/10/2010,7,201.36,-284.4,20.98,53.03,27010,South,Home Office,Office Supplies,Storage & Organization,0.78,11/11/2010
258,11/10/2010,21,154.35,-91.14,6.48,8.74,27010,South,Home Office,Office Supplies,Paper,0.36,11/12/2010
258,11/10/2010,33,216.77,-55.108,6.54,5.27,27010,South,Home Office,Office Supplies,Binders and Binder Accessories,0.36,11/12/2010
261,5/11/2010,47,5677.609,1680.786,140.99,4.2,49971,Central,Small Business,Technology,Telephones and Communication,0.59,5/12/2010
263,3/29/2009,25,136.77,-136.252,5.4,7.78,96061,West,Corporate,Office Supplies,Binders and Binder Accessories,0.37,3/30/2009
290,11/13/2008,24,188.73,-32.48,7.64,5.83,28717,South,Home Office,Office Supplies,Paper,0.36,11/14/2008
292,11/25/2011,43,412.62,175.54,9.9,1.39,84001,West,Consumer,Office Supplies,Envelopes,0.37,11/26/2011
293,8/14/2012,49,10123.02,457.81,208.16,68.02,49634,Central,Consumer,Office Supplies,Appliances,0.58,8/15/2012
293,8/14/2012,27,244.57,46.7075,8.69,2.99,49634,Central,Consumer,Office Supplies,Binders and Binder Accessories,0.39,8/16/2012
294,5/28/2010,35,6375.28,489.02,193.17,19.99,49634,Central,Home Office,Office Supplies,Storage & Organization,0.71,5/29/2010
322,1/30/2012,20,2634.8555,257.76,155.99,8.08,86409,West,Corporate,Technology,Telephones and Communication,0.6,2/1/2012
322,1/30/2012,46,281,-291.59,6.48,10.05,86409,West,Corporate,Office Supplies,Paper,0.37,2/1/2012
323,2/5/2009,2,55.34,-31.24,22.84,11.54,85060,West,Small Business,Office Supplies,Paper,0.39,2/7/2009
323,2/5/2009,20,108.09,25.76,5.68,1.39,85060,West,Small Business,Office Supplies,Envelopes,0.38,2/7/2009
324,1/31/2012,25,3872.634,667.332,179.99,13.99,83810,West,Small Business,Technology,Telephones and Communication,0.57,2/2/2012
325,8/29/2010,9,884.1275,-178.706,115.99,4.23,85354,West,Corporate,Technology,Telephones and Communication,0.56,9/2/2010
326,4/16/2011,34,218.27,-44.137,5.99,4.92,83465,West,Consumer,Office Supplies,Binders and Binder Accessories,0.38,4/17/2011
326,4/16/2011,17,100.95,-21.3,5.81,3.37,83465,West,Consumer,Office Supplies,Rubber Bands,0.54,4/17/2011
353,11/12/2010,21,46.94,3.88,2.21,1,32099,South,Home Office,Office Supplies,Pens & Art Supplies,0.38,2/12/2011
355,4/26/2009,16,1239.6315,-172.546,85.99,0.99,77037,Central,Small Business,Technology,Telephones and Communication,0.85,5/1/2009
358,8/2/2010,33,1235.87,269.27,39.48,1.99,36350,South,Corporate,Technology,Computer Peripherals,0.54,8/2/2010
358,8/2/2010,33,1640.9,-1348.06,48.58,54.11,36350,South,Corporate,Furniture,Bookcases,0.69,8/4/2010
359,10/31/2009,30,3659.66,-500.38,124.49,51.94,83877,West,Corporate,Furniture,Tables,0.63,11/1/2009
384,1/14/2012,50,7666.04,-1820.84,146.05,80.2,6817,East,Corporate,Furniture,Tables,0.71,1/21/2012
386,12/7/2010,4,15.69,-1.59,3.85,0.7,83465,West,Corporate,Office Supplies,Pens & Art Supplies,0.44,12/9/2010
386,12/7/2010,4,14.96,-0.03,3.69,0.5,83465,West,Corporate,Office Supplies,Labels,0.38,12/9/2010
388,10/28/2012,46,517.93,-94.73,11.7,6.96,6439,East,Home Office,Office Supplies,Appliances,0.5,10/31/2012
416,8/9/2010,20,1156.6715,88.524,65.99,7.69,84337,West,Consumer,Technology,Telephones and Communication,0.59,8/14/2010
417,12/19/2008,39,15260.78,8734.88,500.98,28.14,96121,West,Small Business,Technology,Office Machines,0.38,12/20/2008
417,12/19/2008,3,540.41,-170.98,178.47,19.99,96121,West,Small Business,Office Supplies,Storage & Organization,0.55,12/21/2008
420,9/12/2011,8,43.29,-20.69,4.98,4.86,501,East,Small Business,Office Supplies,Paper,0.38,9/12/2011
420,9/12/2011,6,41.7,-14.56,5.78,5.37,501,East,Small Business,Office Supplies,Paper,0.36,9/14/2011
448,7/3/2011,22,1162.4005,-284.625,65.99,19.99,6074,East,Corporate,Technology,Telephones and Communication,0.59,7/5/2011
449,6/1/2011,45,356.7,-48.97,7.38,5.21,24658,South,Corporate,Furniture,Office Furnishings,0.56,6/3/2011
450,1/15/2011,29,1000.78,109.33,34.58,8.99,48001,Central,Consumer,Office Supplies,Pens & Art Supplies,0.56,1/16/2011
450,1/15/2011,35,543.72,-211.13,15.7,11.25,48001,Central,Consumer,Office Supplies,Storage & Organization,0.6,1/17/2011
454,11/8/2011,42,234.2,56.22,6.08,1.82,29684,South,Small Business,Office Supplies,Rubber Bands,0.35,11/10/2011
481,8/20/2012,44,4509.3775,1426.257,115.99,5.26,60001,Central,Home Office,Technology,Telephones and Communication,0.57,8/22/2012
483,5/23/2011,30,4965.7595,1198.971,195.99,3.99,19980,East,Corporate,Technology,Telephones and Communication,0.58,5/25/2011
487,6/30/2012,19,210.4,-18.96,10.89,4.5,45999,Central,Corporate,Office Supplies,Appliances,0.59,7/1/2012
512,4/1/2011,6,1309.53,19.18,218.08,18.06,31569,South,Home Office,Furniture,Chairs & Chairmats,0.57,4/1/2011
512,4/1/2011,48,806.37,-166.4,15.42,10.68,31569,South,Home Office,Office Supplies,Storage & Organization,0.58,4/3/2011
513,3/13/2011,33,5437.92,-684.57,150.89,60.2,91188,West,Home Office,Furniture,Chairs & Chairmats,0.77,3/13/2011
515,7/11/2010,19,394.27,30.94,21.78,5.94,49822,Central,Consumer,Office Supplies,Appliances,0.5,7/13/2010
515,7/11/2010,21,146.69,4.43,6.64,4.95,49822,Central,Consumer,Furniture,Office Furnishings,0.37,7/13/2010
548,8/3/2009,29,202.95,-50.64,6.48,5.9,29941,South,Home Office,Office Supplies,Paper,0.37,8/4/2009
548,8/3/2009,41,129.49,36.02,3.08,0.99,29941,South,Home Office,Office Supplies,Labels,0.37,8/4/2009
548,8/3/2009,26,2753.1925,510.489,125.99,4.2,29941,South,Home Office,Technology,Telephones and Communication,0.59,8/5/2009
549,5/25/2012,30,1150.88,-911.56,38.94,35,98390,West,Consumer,Office Supplies,Storage & Organization,0.8,5/25/2012
549,5/25/2012,5,40.75,-27.57,6.48,8.74,98390,West,Consumer,Office Supplies,Paper,0.36,5/26/2012
549,5/25/2012,13,70.24,-59.75,4.98,7.44,98390,West,Consumer,Office Supplies,Paper,0.36,5/26/2012
610,6/14/2011,38,283.65,-29.21,6.68,5.41,77037,Central,Home Office,Office Supplies,Paper,0.37,6/16/2011
611,12/9/2009,47,840.04,-131.27,17.7,9.47,91188,West,Home Office,Office Supplies,Storage & Organization,0.59,12/11/2009
612,9/2/2012,50,262.87,-166.29,5.28,6.26,68155,Central,Corporate,Office Supplies,Paper,0.4,9/4/2012
612,9/2/2012,43,2531.0875,881.676,65.99,2.5,68155,Central,Corporate,Technology,Telephones and Communication,0.55,9/4/2012
613,4/30/2011,12,93.54,-54.0385,7.3,7.72,49634,Central,Corporate,Office Supplies,Binders and Binder Accessories,0.38,4/30/2011
613,4/30/2011,22,905.08,127.7,42.76,6.22,49634,Central,Corporate,Office Supplies,Storage & Organization,0.59,5/1/2011
614,10/13/2012,24,3366.1,-633.68,138.75,52.42,78702,Central,Corporate,Furniture,Tables,0.74,10/14/2012
614,10/13/2012,41,628.22,163.81,14.34,5,78702,Central,Corporate,Furniture,Office Furnishings,0.49,10/15/2012
640,12/5/2009,39,4913.69,-1153.9,120.98,58.64,19895,East,Consumer,Furniture,Bookcases,0.75,12/6/2009
640,12/5/2009,24,464.77,29.42,18.97,9.54,19895,East,Consumer,Office Supplies,Paper,0.37,12/6/2009
643,2/4/2011,21,2781.82,-695.26,138.14,35,8989,East,Corporate,Office Supplies,Storage & Organization,0.85,2/5/2011
644,3/13/2012,5,1679.58,-171.92,320.98,58.95,28633,South,Corporate,Furniture,Chairs & Chairmats,0.57,3/14/2012
645,10/15/2009,42,557.85,89.4455,12.95,4.98,49634,Central,Consumer,Office Supplies,Binders and Binder Accessories,0.4,10/17/2009
646,10/4/2009,18,173.2,-10.9,9.31,3.98,19810,East,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",0.56,10/5/2009
678,1/9/2010,44,228.41,-226.36,4.98,8.33,19895,East,Home Office,Office Supplies,Paper,0.38,1/9/2010
706,7/22/2011,42,75.14,0.82,1.76,0.7,1441,East,Consumer,Office Supplies,Pens & Art Supplies,0.56,7/24/2011
710,11/14/2009,11,447.09,89.03,41.32,8.66,43002,Central,Corporate,Furniture,Office Furnishings,0.76,11/16/2009
710,11/14/2009,29,4192.88,731.32,145.45,17.85,43002,Central,Corporate,Technology,Office Machines,0.56,11/18/2009
710,11/14/2009,42,161.77,-150.374,3.58,5.47,43002,Central,Corporate,Office Supplies,Binders and Binder Accessories,0.37,11/18/2009
738,1/12/2010,31,189.95,-56.68,6.48,5.14,43567,Central,Corporate,Office Supplies,Paper,0.37,1/13/2010
738,1/12/2010,7,560.51,32.6,80.98,4.5,43567,Central,Corporate,Office Supplies,Appliances,0.59,1/14/2010
740,5/28/2011,6,28.01,3.46,4.98,0.49,81124,West,Corporate,Office Supplies,Labels,0.39,5/28/2011
769,4/14/2010,37,4261.94,4.15,115.99,56.14,19934,East,Consumer,Technology,Office Machines,0.4,4/15/2010
771,4/29/2011,18,88.84,-38.35,4.98,4.72,36544,South,Home Office,Office Supplies,Paper,0.36,4/30/2011
772,2/27/2010,35,589.24,-38.35,17.52,8.17,69367,Central,Consumer,Office Supplies,Appliances,0.5,3/1/2010
772,2/27/2010,25,233.05,86.93,9.9,1.39,69367,Central,Consumer,Office Supplies,Envelopes,0.37,3/1/2010
773,8/8/2010,38,2071.3395,324.927,65.99,8.99,49822,Central,Home Office,Technology,Telephones and Communication,0.56,8/9/2010
774,10/16/2011,17,126.57,-752.13,4.48,49,6703,East,Small Business,Office Supplies,Appliances,0.6,10/18/2011
775,1/28/2011,35,43.57,-19.17,1.26,0.7,94404,West,Small Business,Office Supplies,Rubber Bands,0.81,1/29/2011
775,1/28/2011,8,31.87,-1.25,4.26,1.2,94404,West,Small Business,Office Supplies,Pens & Art Supplies,0.44,1/30/2011
801,12/31/2011,20,59.85,-47.41,2.74,3.5,53235,Central,Corporate,Office Supplies,Pens & Art Supplies,0.58,1/3/2012
802,11/17/2010,2,38.5,-59.93,15.99,9.4,21794,South,Corporate,Technology,Office Machines,0.49,11/17/2010
802,11/17/2010,33,378.6,12.7245,11.7,5.63,21794,South,Corporate,Office Supplies,Binders and Binder Accessories,0.4,11/19/2010
805,5/17/2011,39,197.56,-119.86,4.97,5.71,32046,South,Small Business,Furniture,Office Furnishings,0.54,5/19/2011
807,10/6/2010,45,196.85,-166.85,4.28,6.18,7837,East,Home Office,Office Supplies,Paper,0.4,10/7/2010
807,10/6/2010,32,124.56,-14.33,3.95,2,7837,East,Home Office,Office Supplies,Rubber Bands,0.53,10/7/2010
832,3/1/2012,7,53.46,-17.58,6.48,5.9,83201,West,Corporate,Office Supplies,Paper,0.37,3/5/2012
833,12/26/2008,1,19.32,-20.3205,12.53,7.17,80621,West,Home Office,Office Supplies,Binders and Binder Accessories,0.38,12/27/2008
834,4/4/2009,15,1813.04,-188.96,115.99,56.14,99403,West,Home Office,Technology,Office Machines,0.4,4/5/2009
835,8/20/2011,18,125.16,-23.48,6.48,5.14,19810,East,Small Business,Office Supplies,Paper,0.37,8/21/2011
837,4/27/2009,11,65.7,13.41,5.84,0.83,21794,South,Corporate,Office Supplies,Pens & Art Supplies,0.49,4/29/2009
868,4/21/2012,32,716.84,134.72,21.78,5.94,19810,East,Home Office,Office Supplies,Appliances,0.5,4/22/2012
868,4/21/2012,31,1474.33,114.46,47.98,3.61,19810,East,Home Office,Technology,Computer Peripherals,0.71,4/23/2012
870,5/2/2010,23,1661.04,475.54,70.97,3.5,45999,Central,Corporate,Office Supplies,Appliances,0.59,5/2/2010
871,9/27/2011,17,104.94,-34.97,6.24,5.22,39901,South,Home Office,Furniture,Office Furnishings,0.6,9/27/2011
896,1/19/2010,50,1246.52,52.479,24.92,12.98,20101,South,Home Office,Office Supplies,Binders and Binder Accessories,0.39,1/19/2010
898,4/15/2010,26,7668.55,-183.45,296.18,54.12,83877,West,Consumer,Furniture,Tables,0.76,4/15/2010
898,4/15/2010,40,676.13,45.39,15.98,6.5,83877,West,Consumer,Technology,Computer Peripherals,0.48,4/17/2010
900,8/13/2009,29,1193.65,507.5775,40.98,2.99,34997,South,Home Office,Office Supplies,Binders and Binder Accessories,0.36,8/14/2009
902,6/8/2009,10,1925.83,359.83,207.48,0.99,7514,East,Corporate,Office Supplies,Appliances,0.55,6/11/2009
928,1/12/2011,26,390.2,45,14.58,7.4,35480,South,Consumer,Furniture,Office Furnishings,0.48,1/14/2011
928,1/12/2011,21,1222.68,300.97,59.98,3.99,35480,South,Consumer,Office Supplies,Appliances,0.57,1/17/2011
929,8/14/2012,39,84.33,-64.29,2.08,2.56,91188,West,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",0.55,8/16/2012
929,8/14/2012,21,227.66,-100.16,10.97,6.5,91188,West,Corporate,Technology,Computer Peripherals,0.64,8/17/2012
930,10/29/2009,11,79.19,13.91,6.88,2,14925,East,Small Business,Office Supplies,Paper,0.39,10/29/2009
930,10/29/2009,22,922.39,-41.64,41.32,58.66,14925,East,Small Business,Furniture,Office Furnishings,0.76,10/30/2009
933,6/17/2012,15,80.61,-4.715,5.28,2.99,19936,East,Small Business,Office Supplies,Binders and Binder Accessories,0.37,6/17/2012
960,8/3/2009,46,605.97,-22.72,13.73,6.85,90835,West,Consumer,Furniture,Office Furnishings,0.54,8/4/2009
962,3/18/2009,33,4064.05,1408.1865,122.99,19.99,85233,West,Small Business,Office Supplies,Binders and Binder Accessories,0.37,3/20/2009
962,3/18/2009,47,3213.87,-1069.72,68.81,60,85233,West,Small Business,Office Supplies,Appliances,0.41,3/20/2009
964,4/1/2011,50,315.02,95.1575,5.98,1.49,29338,South,Corporate,Office Supplies,Binders and Binder Accessories,0.39,4/3/2011
964,4/1/2011,4,40.02,-1.28,9.93,1.09,29338,South,Corporate,Office Supplies,Pens & Art Supplies,0.43,4/3/2011
965,3/27/2011,42,11230.25,-2505.3,280.98,35.67,6928,East,Corporate,Furniture,Tables,0.66,4/3/2011
967,5/3/2012,42,1634.9,502.42,37.74,2.9,93456,West,Consumer,Office Supplies,Pens & Art Supplies,0.59,5/4/2012
967,5/3/2012,6,90.56,-43.2,13.99,7.51,93456,West,Consumer,Technology,Office Machines,0.39,5/5/2012
967,5/3/2012,48,11278.18,1836.81,227.55,32.48,93456,West,Consumer,Furniture,Tables,0.68,5/6/2012
994,3/2/2009,38,132.07,14,3.58,1.63,84741,West,Corporate,Office Supplies,Rubber Bands,0.36,3/6/2009
995,4/12/2011,46,1815.49,782.91,39.89,3.04,7837,East,Home Office,Furniture,Office Furnishings,0.53,4/13/2011
998,10/8/2009,16,248.26,93.8,15.74,1.39,2180,East,Small Business,Office Supplies,Envelopes,0.4,10/9/2009
999,7/18/2010,6,583.64,-179.5,95.43,19.99,98310,West,Home Office,Office Supplies,Storage & Organization,0.79,7/25/2010
1027,4/15/2012,19,1406.15,-379.1,70.98,46.74,29907,South,Home Office,Furniture,Bookcases,0.56,4/17/2012
1028,11/13/2008,6,165.75,-28.46,28.48,1.99,48001,Central,Consumer,Technology,Computer Peripherals,0.4,11/14/2008
1028,11/13/2008,11,2021.147,-60.39,205.99,5.99,48001,Central,Consumer,Technology,Telephones and Communication,0.59,11/15/2008
1031,7/14/2009,34,226.1,-52.21,6.37,5.19,83877,West,Consumer,Office Supplies,Binders and Binder Accessories,0.38,7/16/2009
1057,1/2/2012,41,341.36,-52.48,8.46,3.62,84663,West,Corporate,Technology,Computer Peripherals,0.61,1/4/2012
1058,3/8/2010,3,469.438,-888.162,195.99,8.99,83465,West,Small Business,Technology,Telephones and Communication,0.6,3/9/2010
1059,1/9/2009,24,990.1,310.216,40.98,7.47,21794,South,Corporate,Office Supplies,Binders and Binder Accessories,0.37,1/10/2009
1059,1/9/2009,22,127.33,5.2955,5.34,2.99,21794,South,Corporate,Office Supplies,Binders and Binder Accessories,0.38,1/11/2009
1060,1/3/2010,30,1187.55,532.61,37.7,2.99,68717,Central,Corporate,Office Supplies,Binders and Binder Accessories,0.35,1/5/2010
1088,4/2/2012,13,269.02,-112,20.97,6.5,14709,East,Consumer,Technology,Computer Peripherals,0.78,4/9/2012
1095,7/4/2011,28,142.18,-50.14,4.98,4.72,86504,West,Consumer,Office Supplies,Paper,0.36,7/6/2011
1127,8/1/2011,48,5340.5,1215.28,110.98,13.99,84337,West,Consumer,Furniture,Office Furnishings,0.69,8/2/2011
1154,12/28/2011,7,516.65,57.1,70.97,3.5,28909,South,Home Office,Office Supplies,Appliances,0.59,12/29/2011
1154,12/28/2011,44,4462.23,440.72,100.98,26.22,7001,East,Home Office,Furniture,Bookcases,0.6,12/30/2011
1154,12/28/2011,11,663.784,-534.49,71.37,69,7001,East,Home Office,Furniture,Tables,0.68,12/30/2011
1154,12/28/2011,23,115.1,53.13,4.91,0.5,28909,South,Home Office,Office Supplies,Labels,0.36,12/30/2011
1185,7/6/2012,7,374.78,20.03,55.48,14.3,36830,South,Home Office,Office Supplies,Paper,0.37,7/10/2012
1187,10/2/2012,14,222.91,20.21,15.98,4,48001,Central,Corporate,Technology,Computer Peripherals,0.37,10/3/2012
1189,2/19/2009,27,129.1,-59.82,4.42,4.99,43001,Central,Small Business,Office Supplies,Envelopes,0.38,2/20/2009
1191,9/19/2011,35,3532.96,-850.16,100.8,60,93456,West,Home Office,Furniture,Tables,0.59,9/20/2011
1217,3/8/2012,25,662.16,185.21,28.48,1.99,24157,South,Corporate,Technology,Computer Peripherals,0.4,3/9/2012
1218,5/2/2009,3,46.46,-25.13,14.42,6.75,83201,West,Corporate,Office Supplies,Appliances,0.52,5/5/2009
1221,3/1/2012,1,14.68,-13.777,8.6,6.19,5544,East,Corporate,Office Supplies,Binders and Binder Accessories,0.38,3/1/2012
1221,3/1/2012,16,68.45,-57.8795,4.24,5.41,5544,East,Corporate,Office Supplies,Binders and Binder Accessories,0.35,3/3/2012
1221,3/1/2012,11,10145.14,3724.5725,896.99,19.99,5544,East,Corporate,Office Supplies,Binders and Binder Accessories,0.38,3/3/2012
1222,12/18/2009,48,257.39,-121.91,5.28,5.57,95503,West,Home Office,Office Supplies,Paper,0.4,12/18/2009
1253,12/8/2009,15,494.34,-30.19,31.98,6.72,84631,West,Consumer,Office Supplies,Storage & Organization,0.75,12/8/2009
1280,11/23/2009,40,827.27,-170.87,20.97,6.5,68717,Central,Corporate,Technology,Computer Peripherals,0.78,11/23/2009
1282,1/10/2012,26,892.38,366.48,31.78,1.99,83201,West,Home Office,Technology,Computer Peripherals,0.42,1/12/2012
1282,1/10/2012,10,29.41,-2.06,2.78,1.34,83201,West,Home Office,Office Supplies,Pens & Art Supplies,0.45,1/12/2012
1285,4/13/2012,27,3874.12,-305.98,130.98,54.74,29808,South,Corporate,Furniture,Bookcases,0.69,4/13/2012
1285,4/13/2012,8,1452.216,-308.1,218.75,69.64,29808,South,Corporate,Furniture,Tables,0.77,4/14/2012
1286,3/26/2010,46,234.37,-144.6815,5.18,5.74,99403,West,Home Office,Office Supplies,Binders and Binder Accessories,0.36,3/27/2010
1286,3/26/2010,14,1000.3565,229.779,85.99,3.3,99403,West,Home Office,Technology,Telephones and Communication,0.37,3/28/2010
1287,5/17/2009,39,3908.65,480.57,105.29,10.12,27006,South,Corporate,Furniture,Office Furnishings,0.79,5/19/2009
1313,7/26/2009,34,840.07,-83.75,22.84,16.92,2139,East,Home Office,Office Supplies,Paper,0.39,7/28/2009
1314,3/25/2009,4,42.58,-7.61,9.27,4.39,49971,Central,Corporate,Office Supplies,Paper,0.38,3/27/2009
1317,3/31/2011,40,192.54,-186.73,4.98,7.44,43317,Central,Consumer,Office Supplies,Paper,0.36,4/1/2011
1317,3/31/2011,44,523.42,39.423,11.7,5.63,43317,Central,Consumer,Office Supplies,Binders and Binder Accessories,0.4,4/2/2011
1317,3/31/2011,29,156.7,-76.64,5.28,5.57,43317,Central,Consumer,Office Supplies,Paper,0.4,4/2/2011
1344,2/27/2012,18,2480.9205,313.578,155.99,8.99,2054,East,Corporate,Technology,Telephones and Communication,0.58,3/2/2012
1344,2/27/2012,15,834.904,-11.682,65.99,5.26,2054,East,Corporate,Technology,Telephones and Communication,0.59,3/5/2012
1345,9/9/2012,24,2443.85,-120.85,100.98,35.84,6817,East,Corporate,Furniture,Bookcases,0.62,9/13/2012
1346,4/30/2012,48,4789.89,421.15,100.98,26.22,5544,East,Corporate,Furniture,Bookcases,0.6,5/2/2012
1382,6/29/2010,5,89.335,-107.096,20.99,2.5,80001,West,Home Office,Technology,Telephones and Communication,0.81,7/3/2010
1382,6/29/2010,39,158.46,-130.663,3.98,5.26,80001,West,Home Office,Office Supplies,Binders and Binder Accessories,0.38,7/6/2010
1382,6/29/2010,31,7180.83,487.17,220.98,64.66,80001,West,Home Office,Furniture,Bookcases,0.62,7/6/2010
1383,3/9/2010,43,17129.97,5616.08,415.88,11.37,83877,West,Consumer,Office Supplies,Storage & Organization,0.57,3/10/2010
1411,11/2/2009,39,5748.2,-459.86,160.98,35.02,32122,South,Small Business,Furniture,Bookcases,0.72,11/3/2009
1411,11/2/2009,47,6717.9325,1717.893,175.99,4.99,32122,South,Small Business,Technology,Telephones and Communication,0.59,11/4/2009
1412,1/23/2010,13,59.03,26.92,3.69,0.5,49822,Central,Consumer,Office Supplies,Labels,0.38,1/25/2010
1412,1/23/2010,21,97.48,-5.77,4.71,0.7,49822,Central,Consumer,Office Supplies,Rubber Bands,0.8,1/25/2010
1414,6/28/2011,44,4530.96,-993.35,105.49,41.64,62444,Central,Small Business,Furniture,Tables,0.75,6/28/2011
1440,6/22/2011,41,726.22,52.47,17.67,8.99,27010,South,Small Business,Furniture,Office Furnishings,0.47,6/24/2011
1444,10/18/2009,25,772.24,181.98,30.98,8.74,92320,West,Home Office,Office Supplies,Paper,0.4,10/19/2009
1444,10/18/2009,2,21.44,-13.67,6.48,8.74,92320,West,Home Office,Office Supplies,Paper,0.36,10/20/2009
