,0,1
59,Relief Registered Veterinary Technician - Guide Dogs for the Blind,https://sfbay.craigslist.org/nby/npo/d/relief-registered-veterinary/6316810391.html
60,Personal Caregiver- Flexible Hours!,https://sfbay.craigslist.org/nby/npo/d/personal-caregiver-flexible/6316807948.html
61,Field Operations Scheduler,https://sfbay.craigslist.org/eby/npo/d/field-operations-scheduler/6316807807.html
62,CHILD CARE SOLUTIONS - Mental Health Consultant,https://sfbay.craigslist.org/eby/npo/d/child-care-solutions-mental/6316762922.html
63,Make a Difference - Career Opportunity -  Paid Training - ABA Therapy,https://sfbay.craigslist.org/pen/npo/d/make-difference-career/6316746556.html
64,Make a Difference - Career Opportunity -  Paid Training - ABA Therapy,https://sfbay.craigslist.org/sfc/npo/d/make-difference-career/6316744853.html
65,Make a Difference - Career Opportunity -  Paid Training - ABA Therapy,https://sfbay.craigslist.org/pen/npo/d/make-difference-career/6316742982.html
66,Make a Difference - Career Opportunity -  Paid Training - ABA Therapy,https://sfbay.craigslist.org/pen/npo/d/make-difference-career/6316742218.html
67,Serve Adults with Developmental Disabilities- Make a Difference!,https://sfbay.craigslist.org/nby/npo/d/serve-adults-with/6316731272.html
68,Serve Adults with Developmental Disabilities- Make a Difference!,https://sfbay.craigslist.org/nby/npo/d/serve-adults-with/6316728581.html
69,Serve Adults with Developmental Disabilities- Make a Difference!,https://sfbay.craigslist.org/nby/npo/d/serve-adults-with/6316723536.html
70,Research and Analytics Manager,https://sfbay.craigslist.org/sfc/npo/d/research-and-analytics-manager/6316721639.html
71,Work for Amnesty International- Help Protect Human Rights! (Oakland),https://sfbay.craigslist.org/sfc/npo/d/work-for-amnesty/6316716298.html
72,Work for Amnesty International-Help Protect Human Rights! (San Jose),https://sfbay.craigslist.org/sby/npo/d/work-for-amnesty/6316712755.html
73,Counselor - Parker Hill Place,https://sfbay.craigslist.org/nby/npo/d/counselor-parker-hill-place/6316701812.html
74,Counselor Harstad House,https://sfbay.craigslist.org/nby/npo/d/counselor-harstad-house/6316699871.html
75,Counselor - Progress Foundation,https://sfbay.craigslist.org/sfc/npo/d/counselor-progress-foundation/6316696277.html
76,Per Diem Clinical Counselor,https://sfbay.craigslist.org/sfc/npo/d/per-diem-clinical-counselor/6316693692.html
77,Assistant Director - Progress Foundation La Posada,https://sfbay.craigslist.org/sfc/npo/d/assistant-director-progress/6316685601.html
78,Program Clerk - Dore Residence/ Dore Clinic (30 hours full benefits),https://sfbay.craigslist.org/sfc/npo/d/program-clerk-dore-residence/6316683600.html
79,Assistant Director -- Shrader House,https://sfbay.craigslist.org/sfc/npo/d/assistant-director-shrader/6316681896.html
80,Counselor - Crisis and Seniors Program,https://sfbay.craigslist.org/sfc/npo/d/counselor-crisis-and-seniors/6316678852.html
81,Licensed Vocational Nurse/ Psychiatric Tech (day shift),https://sfbay.craigslist.org/sfc/npo/d/licensed-vocational-nurse/6316676110.html
82,HELP NEEDED TO SAVE LIVES IN CONFLICT AREA! - $13-$17/hour,https://sfbay.craigslist.org/eby/npo/d/help-needed-to-save-lives-in/6316671416.html
83,Relief Counselor - Progress Foundation (Santa Rosa),https://sfbay.craigslist.org/nby/npo/d/relief-counselor-progress/6316668480.html
84,Seeking Clinical Supervisor (LVN) for supervision of LVN/CNA staff,https://sfbay.craigslist.org/sfc/npo/d/seeking-clinical-supervisor/6316661143.html
85,Relief Counselor - Progress Foundation San Francisco,https://sfbay.craigslist.org/sfc/npo/d/relief-counselor-progress/6316660697.html
86,Relief Counselor - Progress Foundation Napa,https://sfbay.craigslist.org/nby/npo/d/relief-counselor-progress/6316658704.html
87,Middle School Chemistry Teacher / Maternity Leave Position Dec-June,https://sfbay.craigslist.org/pen/npo/d/middle-school-chemistry/6316640873.html
88,Part Time Middle School Spanish Teacher,https://sfbay.craigslist.org/pen/npo/d/part-time-middle-school/6316636598.html
89,WANTED NOW: Experienced Fundraiser/Community Organizer ($14-$16/HR),https://sfbay.craigslist.org/eby/npo/d/wanted-now-experienced/6316630857.html
90,Kids Brazilian Jiu Jitsu Teacher Needed in East Bay,https://sfbay.craigslist.org/eby/npo/d/kids-brazilian-jiu-jitsu/6316626713.html
91,OneJustice: Staff Attorney for Pro Bono Clinics,https://sfbay.craigslist.org/sfc/npo/d/onejustice-staff-attorney-for/6316609110.html
92,Compassionate Caregivers,https://sfbay.craigslist.org/nby/npo/d/compassionate-caregivers/6316606125.html
93,OneJustice: Senior Staff Attorney for Pro Bono Clinics and Immigration,https://sfbay.craigslist.org/sfc/npo/d/onejustice-senior-staff/6316599145.html
94,Case Manager Supervisor,https://sfbay.craigslist.org/sfc/npo/d/case-manager-supervisor/6316582866.html
95,AOD Counselor-FOTEP TI,https://sfbay.craigslist.org/sfc/npo/d/aod-counselor-fotep-ti/6316578059.html
96,Weekend Coordinator - FOTEP,https://sfbay.craigslist.org/sfc/npo/d/weekend-coordinator-fotep/6316576741.html
97,Supervising Counselor - FOTEP TI,https://sfbay.craigslist.org/sfc/npo/d/supervising-counselor-fotep-ti/6316575542.html
98,Overnight Monitor (Temporary) - FOTEP TI,https://sfbay.craigslist.org/sfc/npo/d/overnight-monitor-temporary/6316574583.html
99,Child Care Assistant,https://sfbay.craigslist.org/sfc/npo/d/child-care-assistant/6316573592.html
100,Adoption/Foster Care Social Worker for Triad Family Services,https://sfbay.craigslist.org/eby/npo/d/adoption-foster-care-social/6316572375.html
101,Upper School Assistant Cross-Country &Track & Field Coach (part-time),https://sfbay.craigslist.org/pen/npo/d/upper-school-assistant-cross/6316535014.html
102,Program Supervisor II,https://sfbay.craigslist.org/eby/npo/d/program-supervisor-ii/6316511137.html
103,**WORK WITH GREENPEACE** Hourly and bonuses,https://sfbay.craigslist.org/sby/npo/d/work-with-greenpeace-hourly/6316443688.html
104,**WORK WITH GREENPEACE** Hourly and bonuses,https://sfbay.craigslist.org/eby/npo/d/work-with-greenpeace-hourly/6316435819.html
105,ASSOCIATE TEACHERS for Preschool/Child Development Centers,https://sfbay.craigslist.org/nby/npo/d/associate-teachers-for/6316348671.html
106,Full-Time Dual Diagnosis Residential Counselor,https://sfbay.craigslist.org/eby/npo/d/full-time-dual-diagnosis/6315843193.html
107,Accounting Supervisor,https://sfbay.craigslist.org/eby/npo/d/accounting-supervisor/6315841491.html
108,Join an Educational Movement! Be a Summer Program Director at Galileo,https://sfbay.craigslist.org/sfc/npo/d/join-an-educational-movement/6315834926.html
109,Assistant Program Director,https://sfbay.craigslist.org/eby/npo/d/assistant-program-director/6315832800.html
110,Case Manager - SIL Program,https://sfbay.craigslist.org/eby/npo/d/case-manager-sil-program/6315828096.html
111,Mental Health Clinicians for Outpatient Program (multiple openings),https://sfbay.craigslist.org/eby/npo/d/mental-health-clinicians-for/6315824877.html
112,Program Assistant/Health Information Specialist: Children's Agency,https://sfbay.craigslist.org/nby/npo/d/program-assistant-health/6315779323.html
113,Wraparound Clinician: Mental Health Support for Youth!,https://sfbay.craigslist.org/sfc/npo/d/wraparound-clinician-mental/6315769535.html
114,Part-Time Clinical Intervention Specialist,https://sfbay.craigslist.org/sby/npo/d/part-time-clinical/6315767905.html
115,Bilingual Outpatient Therapist - Support youth and families!,https://sfbay.craigslist.org/sby/npo/d/bilingual-outpatient/6315766867.html
116,Multisystemic Therapy Clinician - Support Probation-Involved Youth!,https://sfbay.craigslist.org/eby/npo/d/multisystemic-therapy/6315763941.html
117,Senior Administrative Assistant,https://sfbay.craigslist.org/eby/npo/d/senior-administrative/6315760753.html
118,Data Quality Specialist,https://sfbay.craigslist.org/sby/npo/d/data-quality-specialist/6315751567.html
119,Quality Assurance Specialist (2017-132),https://sfbay.craigslist.org/sby/npo/d/quality-assurance-specialist/6315741254.html
