,0
27,American Airlines not good service place they lie and treat the customers bad they have been buisness for long but they can fix their mistakes they are full fake propaganda and they lie all the time flight has been cancelled twice and all they can say have information work for the press will make sure that all the pages our company runs will have bad review about American Airlines You guys should stop lying your customer ethical what you guys are doing your customer hope that they boycott your company for you ethical practices
28,American Airlines provided one the worst flying experiences American Airlines agent was locked out computer system and could not place one three children along with the rest after being assured that this was already taken care done days prior Four people booked roundtrips oldest had ear infection and husband drove him had rebuy the return leg already owned and assured the child flying the inbound seat would maintain his seat with Never happened Call the night before hapless agents said they were locked out and couldn make the seat change but could fixed paying Clicking the Check email locked you out Really Pay you and you can miraculously fix mistake you made Absolutely the worst airlines worst customer service worse agents Child was not ticketed with the family should called Unamerican America should ask for its name back
29,Canceled flight over megaphone problems after delaying over hour
30,The airline staff and managers are terrible recently booked flight for son years old from Orlando LAX jet blue and had absolutely problems His flight home was American Airlines and was disaster When booked his flight was not told the unaccompanied minor charge was going incur when checked him The airline staff was rude and pretty much said that their policy Fine policy should have notified when booked would have booked different airline where flies solo charge waited over minutes have supervisor even more rude and pretty much was told pay get refund Terrible customer service and will not return this airline
31,Worst ever will not fly america airline again leave jamaica july did not get home untile july was book times then flight cancel hungry sleep wasnt offer anything anyone that works there they all was rude with attitude never again
32,American Airline extorts passengers blocking off all available seats during check and then request that passengers pay extra for the same seats they have already paid for They don take into consideration that passengers are flying with loved ones they don make any attempt sit family members together which one the reasons passengers purchase tickets together family have experienced this more than once with American Airlines
33,Worst airline lost our luggage years ago almost caused sister miss her daughter wedding last week then lost her bag Now husband stuck airport Dallas not sure when can come home because they can get their act together
34,will NEVER fly with American Airlines again had book roundway trip that included flights the way out destination flights were delayed way back first flight was delayed the point making miss connecting flight was put the next flight out only for cancelled was put standby for the next flight out but given lack follow through fully expecting that flight cancelled delayed further wish there was way score negative rating for this horrible airline
35,absurd that the flight time has been changed already two times will make Mexico City very late having more and more delays lately something the Managers would like check
36,Worst airline lost our luggage years ago almost caused sister miss her daughter wedding last week then lost her bag Now husband stuck airport Dallas not sure when can come home because they can get their act together
37,will NEVER fly with American Airlines again had book roundway trip that included flights the way out destination flights were delayed way back first flight was delayed the point making miss connecting flight was put the next flight out only for cancelled was put standby for the next flight out but given lack follow through fully expecting that flight cancelled delayed further wish there was way score negative rating for this horrible airline
38,have flown with American four times this week and every time something has gone wrong have been given faulty information about flight gates and times and nearly missed flight and been given wildly inaccurate time estimates which have caused all manner problems
39,flew from San Juan Indy with layover Philadelphia checked bag and they lost called all airports well the airline and submitted claim avail The last scan was the ticket counter San Juan and when spoke them they said that the bag not there will never check bag again and will definitely second guess using American airlines again
40,Got the airport and realized that Chinese husband and his parents needed complete the EVUS registration before being able get their flight the had not heard this before getting the counter check Unfortunately filling all that information out for people took almost hours and were told would miss our flight because check would end few minutes needed get the next flight said okay let see what the next flight situation Fortunately things looked good get the next flight but only for family members who were Chinese was citizen could not put the next flight missed the scheduled flight would fault because didn have visa issue like laws Are you serious helping them fill out all that information which needs completed Chinese and English and just supposed leave them not fly American you are not citizen have non citizens your family was forced leave family and all stuff catch scheduled flight was the most distressing travel experience have ever had not family oriented
41,Worst airlines that been platinum elite with been platinum elite with several airlines and the customer service with American the worst far
42,not very happy with American Airlines have traveled with multiple other airlines before and never lost any luggage ever But today the way from Phoenix Arizona Philadelphia Pennsylvania and then our last flight from Philidelphia Buffalo New York lost not one not two not even three but four bags luggage are traveling group seven and only five brought suitcases Four out five bags luggage lost from our group also other people our flight lodt thiers well After get back Arizona will NOT travelimg with American Airlines again
43,Never again was coming from montreal chicago but had stop over laguarda The delay flight from montreal made miss second flight had stay the airport from with compensation This airlines really rubbish
44,The whole experience with with American airlines was horrible the flight the people the air craft and then after the trip called complain and explain them and with being disabled they blammed the experience and did nothing fix WILL NEVER FLY THIS EVER AGAIN
45,flight was from Maui DFW airport When boarding the plane there was phone updated phone charger amp and the movie that was playing was older than great grandmother war movie had daughter with and she was board out her mind could understand using this plane shorter flights but not for flight that going last hrs the flight Maui was great meet ever need Very disappointed the way back
46,Terrible service
47,will never fly American Airlines again will stick with delta from now
48,This far the worst airline have ever seen Fligh was leave birmingham did not leave until Got dallas catch connecting flight las vegas was delayed twice now not leavinging till after midnight This the most poorly ran company ive ever seen Well never fly with this bunch losers again
49,The plane was great but the board staff was careless They never considered when talk them ask questions they even avoid sometimes When they came with the meal tray they bumped our seat each time Not smile not verification were pleased
50,Lost luggage because their flights from Detroit use smaller planes save weight they send some the bags later another flight They don tell you they doing this missed day conference because didn have any clothes This airline garbage
51,flew Hartford Lihue with stop Los Angeles All flights were time and the aircrafts ranged from brand new average Flight attendants were just fine Coming back Lihue Phoenix Philly and the Hartford All flights were time and the aircraft ranged from ashtrays yet solid plane couple standard planes and regional finish Once again flight attendants point all together for miles were quite pleased
52,Service very very poor Philly this week Much better Chicago Wednesday
53,Called customer service for help told despite plus miles the airline not much more than senior management authorized them say sorry and hope use American again
54,Guess current thinking
55,Endless delays with this airline Never had issue ever flying but the one time tried something else nothing but issues were suppose home Sunday now Monday night still sitting airport
56,You pay for everything and the service really bad rude far below that other airlines Southwest the past flew American regular basis and the service was good and the seats were comfortable WHAT HAPPENED
57,flight from Crosse Chicago was delayed minutes Due the delay missed flight from Chicago Little Rock got flight rescheduled for the next morning wasn given hotel stay and wasn given any money cash for food spent the night Chicago and waited until the next morning for the next flight out Two hours before was suppose board flight was cancelled They made fly Dallas where waited two hours standby flight Little Rock looked online and there were open available first class seats that were not going occupied went too the check desk and asked could sit the first class seats but not have the service was told that could absolutely not sit there and would have wait now waiting Dallas for flight Little Rock What should taken hours fly taking full day will never fly with American Airlines again should spent more for different airline take won waste time and money and this airline ever again
58,was flight from lex DFW Due seating issues wife and were not seated together But the last minute before take off the thoughtful gate agent arranged seats and also upgraded first class wife and flew together The cabin crew was super helpful polite and courteous Carmel was one the best The captain was also very courteous Great job and crew
59,average the flights have taken arrive Charlotte with less than minutes prior connecting flight take off AND the arriving flight gate and the departing flight gate are opposite sides the airport AND they require check carry that conforms the carry size limits This has led several missed connections The last flight where this happened return destination was critical and could not wait until the next day flight rentals available all CLT took car service refuses reimburse addition the customer service rep the airport CLT was downright rude
60,were going cancun left after loading ant sat the runway for over hour then finaly got dallas notified had missed our flight
61,Overall terrible experience with American Airlines will never use them again
62,First time flying and what experience The first our connecting flights was smaller plane but the flight attendants made feel right home
63,Wanting leave little thankful shout out this airline and employee Last week June family and were flying from Dallas Cancun Flight younger sister lost her backpack the airport and had board the plane without Customer Service said would never get back since didn have any identification and because unattended bags get immediately confiscated the police The following day received voicemail from the flights supervisor Jessica telling she had found the backpack and had sent the next flight cancun Amazingly were able reunited with her backpack Thank you much star airline and star employees
64,fact booked this flight parents and they missed their flight The travel agency officer gave them connected fly and they were almost lost Charlottesville airport because they didn know connected just keep calling and asking for help Those AMerican airlines which were duty did great job help find them and send them the Dullas airport for Thank you and Charlottes airport for taking care those costumer who are new this country and don the language
65,have two canceled flights the same trip poor service and didn even receive compensation for this
66,was bumped because the flight was overbooked seats Few personnel around help Took two hours get answers missed daughters graduation bag was sent and after many hours was sent back way SPITE TELLING THEM THAT HAD MEDS AND CPAP machine the bag Unprofessional all the way Cost cutting very much evidence achieve bottom line WILL NEVER FLY AMERICAN again
67,Had connection flight from chicago nashville was horrible
68,That gate flight kept changing every minuts the last hour then got delayed for about hour then the flight got cancelled
69,They rebooked ticket for the next day the evening thats hours from original flight asked for room hotel rest because was coming from hour flights they said there were rooms available had rent hotel room The next evening when got the airport same thing started happen the gate kept chaning and the flight delayed another hour just unacceptable
70,Flight attendant Annette flight DFW from San Francisco awesome She heard was flying back home after mother passed away and was thoughtful Thank you American for having such great person your staff
71,The flight delayed hours and when landed did not have fucking parking place ready because another plane American was stranded there and took more than hours just park Another half hour get our luggage and the fact ones from cares about not travel this airlines ever again
72,wife and traveled from Kauai Sacramento with connection Phoenix The flight crew was late arriving the airport Kauai and were over minutes late departing Phoenix arrived minutes late Phoenix Because the delay missed our connection Sacramento They closed the door early just ran the gate complained the American Airlines customer service representative She told was fault for the missed connection and that should not have booked the flights close together tried explain that was prepackaged flight connection that travel agent booked She put the next flight hours later That flight was nearly full and were not able sit next each other Also had paid for premium seats that were not able sit The customer service agent also refused refund the extra paid for the premium seats top things off the new connection flight was minutes late taking off and arriving Sacramento was surprised how little American Airlines cared about their customers Apparently you can pay extra for seat get bumped from not sit and not get your money bac
73,The worst ever
74,Treated poorly flight was cancelled without any notification Alternate flight was seriously delayed due mechanical issues the plane Missed connecting flight this time have lost days day trip paid for feel the airline should reimburse for the entire trip They only offering the ticket amount back minus the deposit don think this fair The attendants were rude Yelled move out the area the next passengers can board for Hawaii have never felt angry mistreated life will never fly American Airlines don recommend anyone else either They hated accommodate room and food voucher ain going buy nothing that expensive airport
75,find very poor customer service that due flight being late delaying the connections people the would close flight knowing that people had connections meet arrived along with other passengers minutes before the departure and the flight attendant had closed the flight and really acted that she could careless that you were that flight for minutes now due delays nothing with have sit the airport for hours You got kidding Terrible customer service
76,last four flights were horrible experiences American Airlines flight was delayed way Tulsa causing miss connecting flight causing hour delay Tulsa not weather related Then the way back Denver there was delay due the pilot being late making everyone depart the plane were informed about the delay after were already boarded and ready take off The communication with delays along with rude staff over the intercom made for very bad customer service have flown many other airlines with fewer delays and better customer service will not flying American again
77,just recently flew American Airlines and was the worst experience had before flew from San Diego Dallas the gates were too close together which caused chaos between different destinations got Dallas had flight Cleveland the gate changed the time boarding had rush switch locations They kept delaying until finally they let but soon got there was maintence issue which could longer fly the plane tried switching destination Pittsburgh get home sooner and service rep was very rude spent way too much these flights have this much dissatisfaction
78,flight Aruba May was not bad the flight home was horrible kept getting delayed Miami and was supposed home didn arrive until the morning stuck the airport New York waiting flight that kept changing every few minutes didn not catch flight until night tired hungry and there was information given why couldn catch flight home people frustrated tired sleepy and hungry how felt that airline ticket was lot money treated the way were
79,All American Airline flights total delayed due crew change issues Pitiful Get together will never fly again Most delays were excess hours This completely unacceptable show this kind disregard and dismissive customer service time valuable yours extremely disappointed advice choose any other airline you will very sorry zero was option would certainly give you ZERO
80,Don bother flying class American flew from Richmond the Turks and Caicos Islands stopping Miami The stewardesses both flights were surly and inattentive except for one asked for champagne and there was none the leg the flight the leg the flight the stewardess poured thimble full and acted like was her own bottle Don Perignon she was pouring had hour flight Miami the very early morning hours and were provided breakfast all friend mine who flew the same route different Carrier received full breakfast and arrived the destination full not starving death were offered the same unhealthy high calorie salty snacks that was provided the economy class Why did pay over for this flight when was treated like economy class passenger who paid about that fair made complaint yesterday and have yet hear anything back from the airline Don bother flying American particularly class Spend your money somewhere else also have American advantage credit card and that seems good when comes better service either Beware
81,Lost luggage nov and has never been compensated Communication shamefully poor Show interest passenger Lots lies and excuses was told the matter was referred top management and resolve this day This June
82,usually fly southwest but was going out the county choice was American From the begging the trip American was disorganized and not all organic They did not care for any their passengers and was apparent throughout the experience called American airline customer service after American pushed from one line another The customer service rep Lacy said just wait line she were help would cost more Who heads this airline Disappointing
83,Worst airline ever Advised hour wait check Orlando airport people waiting line Same for self serve check One staff member available deal with customer queries She just kept fobbing people off understandably she was probably completely overwhelmed Such terrible customer service and organisation passengers Never again
84,Once again American flight delayed once again stuck Dallas airport for hours Once again even connecting flight delayed The public backlash against the long standing crappy customer service airlines only going get bigger long time coming longer have any trust this company
85,fianc and Ali were called speak with the boarding agent were boarding They shared with that final moment that our seat assignments were changed without our knowledge effort accommodate family would like understand how this okay appreciate families needing together though our flights were booked together February and until were boarding there was attempt negotiate this with haven seen each other for month and this our biggest trip the year and our relationship flew from two different states finally together and treated second class citizens had faith until this happened how was handled that frustrating and off putting feel under valued this airline and will choose take our future business elsewhere
86,The staff was very rude and they assigned seats different rows for year old month old and for myself was not able feed kids and the staff was very rude and didn help Some gentleman switched seats but still ended breast feeding baby middle two men This airlines not even worth star hate myself for choosing this airlines just for saving few bucks
87,took flight from
88,JFK Edinburgh were flight completely unacceptable that for the money paid were given personal inflight entertainment will not recommend this airline anyone due the fact that the flight hours and you could not give damn about your passengers
89,EDITORS COMMENT agree
90,Woman Charleston with blonde hair boarding the charleston charlotte was very lovely Woman Charlotte with short brown hair boarding flight Roanoke May was very unfriendly and not helpful
91,Flight delayed hours started out weather then became issue not having replacement crew this point American should not need hours come with plan Waiting plane updates exhausted and haven even been offered water Worst experience messing work trip flight
92,Very disappointed customer relations
93,Just used after break nearly years amazing service plane was clean used Thomson last year and their plane was filthy Hostess were pleasant and friendly Roomy seat which just what you need for hour flight Food was good also best had plane easily
94,Plane was scheduled Will definatley use again
95,was Sunday May The flight attendant Emily provided excellent service
96,EDITORS COMMENT Thanks for the positive feedback
97,had flight cancelled and was rescheduled for the next day could not fly the next day when called the sales rep offered other solutions cancelled flight turned out there was alternate and when tried make reschedule was told had already cancelled and they could not reverse the transaction This was unacceptable considering called back within minutes and was told refund would take weeks
98,business offered this type customer service would out business
99,will never fly American again just hoping receive refund promised
100,Third fight canceled due mechical problems cost day vacation and now extra day get home This terrible
101,experience with this company that they are very money over customer oriented will not flying again
102,should take lesson from Jet Blue offers complimentary WIFI and works
103,With you have pay for GOGO Inflight which sucks Time wake
104,arrived the airport Pearson airport Toronto with hour and minutes until flight departed Family circumstances grandfather very sick held lateness own fault fully acknowledge that However the way American Airlines employees treated was awful and unacceptable was the airport was basically empty was the third person line for baggage after quickly getting boarding pass signalled one the employees who came over speak informed her that was running bit late and asked she could help get through She said very rudely and bluntly was idiot Then she proceeded lecture quite loudly about being late Then she told you done this point meaning should give and not try make flight She then spoke the people behind line and told them that they can just ahead because arrived late and done was extremely rude and embarrassing treated like this When went speak someone about getting another flight they did nothing for ended calling Canadian Airlines and booking another flight avoid dealing with
105,People pay for first class for reason Good food comfortable seats good service beverages etc and also the use bathrooms first class Every time husband wanted use the bathroom had stand line and the people front were people from coach The pilot even announced before the flight took off that everyone was use the restroom their class This happened flights days
106,you want irritated mismanaged and switching for flights you don know book American Airlines you want people who don mind about customers use American Airlines Now let tell you what these guys and they will the same you They overbook the flight they will find way pushing you aside cover the expensive late overbooked tickets Infact you are lucky they will put flight which goes somewhere you don know has been first time Use but will never use them again you think just negative read other posts for their rating Book your own risk have been unfairly treated one listens you and they are just helping you
107,Travelled with American Airlines Airbus from Phoenix Los Angles code share QANTAS booking Passenger conduct terrible Two intoxicated passengers behind One decided use the toilet while the plane was waiting for its turn for take off after the pilot advised would slightly delayed and the queue Another passenger decided use the toilet about seconds after take off with the blessing the cabin steward She said better that than cleaning pee Overhead bins were absolutely jammed packed and one passenger near was nursing carry that clearly should have been stowed passengers seem very reluctant want check luggage Certainly very different experience domestic travel Australia and behavior that would not tolerated here for safety reasons Perhaps all the recent negative publicity flights has made the cabin crew reluctant deal with problems
108,ticket agent dismissive and rude trip sustained fall and was hospitalized with fracture the spine and disc herniation spine asked could purchase aisle seat that computer showed available explained the reason and showed hospital discharge summary She told she doubted could have the seat they were saved for families could sit together were about board she came over and told she decided could have Customer next stated see your seat also depends this woman ego Flight attendants are better always decline beverage because they are intimidating and rude God help you you need anything from them
109,recently flew Business class American Airlines and was shocked how bad the overall service was for the ticket price just very thankful that employer paid for the ticket paid would feel robbed
110,Paid check two bags Lucia through Houston Can tell you how shocked was find out that would have retrieve bags Miami and recheck basically gate check which typically FREE When asked for bags and money back could gate check was told and should have asked the kiosk lady before paid check bags This even makes United look good
111,have flown four times two years and every time they overbooked insane amount people and ultimately cancelled three flights All times they rerouted left stuck city six hours from destination Philly both times and had absolutely nothing worthwhile assist had cancel entire days work and school four occasipns because their poor travel accomodations The customer service team gave this awesome coupon for hotel stay which hilarious because the hotel business partner the airport wasn even like they were trying considerate These flights are cheap and uncomfortable and not worth never use airports again thanks their poor service just not worth the money and the risk
112,arrived LAX time boarding passes hand There was over hundred people kiosks trying pay for and get tags for carry luggage The card reader wouldn accept our card were told another kiosk and another line Still our card wouldn work were told again another line and try again still the same problem were told hurry the lines were backing After minutes trying all the kiosks all with long lines approached the counter asking could pay cash they refused but told yet another counter about feet away That card reader couldn read our cards either
113,Evidently our Visa cards had the new chip which their kiosk couldn recognize
114,Time was getting very short and now there were other passengers with the same problem all tried our cards again During the process trying sixth time were told was too late and were denied boarding
115,will never fly this airline again When got the airport announcement was made that flights were over booked Minnesota was sure someone else would dragged off the flight Then after being called board own flight was sent back into the lobby and was told the flight was cancelled Cancelled flight due loose crew Although was upset didn lose The problem had was watched another woman book flight another airline all together and American Airline honored and paid for When asked for the same treatment customer service the same lady told she was unable honor that They called security because was upset and didn want leave the line until issue was resolved left and went out the front desk resolve issue and nothing helped only have back through TSA stuck the airport until after getting home and wont get home until tonight That the flight doesn get cancelled again Rude hell extremely unhelpful asshole customer service and airline
116,travelled from Philadelphia Manchester American Airlines flight Saturday April and were delighted with the experience
117,The Flight Attendants were attentive and helpful the seats were comfortable with plenty leg room and the food was adequate even though breakfast was little lacking
118,After landing Manchester one the Flight Attendants got small bottle bubble mixture and bag sweets and went round the plane blowing bubbles and offering sweets all the children nice touch
119,Well done keep the good work
120,just returned form the trip that took Washington were business fun trip American Airlines totally ruined the trip Not only did not get time anything the same thing happened the return flight home Our flight was delayed and did not get home until after midnight sat both airports watching American Airlines flights being delayed and canceled after huge delay were not the only ones will NEVER fly again Basically anyone was fortunate they left time was totally shocked really almost feel sorry for your gate personnel wonder that were telling people that just your tuff luck they have ashamed and sick themselves While waiting Louis the gate personnel did not want give out meal vouchers One lady apparently aware that after such wait that were entitled meal vouchers got and asked for the meal voucher the gate personnel whispered give you one have give everyone one Let tell you about similar experience had with Southwest Airlines recently The same delay happened and after couple hours the gate personnel started playing game with
121,least won drag you off the plane Agent
122,The timing couldn have been more relevant and the phrase couldn have been more distasteful had thought that post the United debacle that all airlines would vigilant about either not overbooking treating the people they overbooked very well American Airlines clearly did not
123,When husband arrived the desk was informed that could not take the flight paid for was oversold quote overbooked what Honestly not the timing but common curtesy should tell you that not okay then obstinately continue remain rude and when were finally given two middle seats someone took voucher deal say this the way has threw over the edge implore American hire better and treat the consumer human being know that will not take American for long time even the cheapest option
124,NEVER FLY Before the hopeless merge had access Airways lounge and get class upgrades regularly had hefty miles was promised Airways that miles will cross over Since the merge have flown minimum times try much fly instead other Airline but today got the worst treatment imaginable Left Chicago Airport for hrs layover Now when was Using the ticket never saw hrs layover was taking off from city with different time zone from two other cities was traveling how can figure out glance view that have hrs layover Chicago midnight trick people Airways always tell you the sum hours layover you have but want deceive you Why route from California Phoenix then Chicago when there are flights from Phoenix The worst are the repsentatives the phone and ground
125,Flying from Arizona New York has been the worst experience entire travel history First off have power the plane for over hour degrees inside the plane felt like hot oven they gave water and top all this plane looks like its years old During this horrible horrible experience bought your WiFi which had problem taking credit card information but then stopped working Maybe you should also get some TVs your ghetto planes well
126,canceled returning flight with this airline because would never wish this bad experience anyone
127,flew from Denver Dallas the flight was late departing and arriving Dallas flight April Announcement was made let passengers off who had connecting flight because the flight was late but that did not happen Other passengers did not cooperate and staff did not assist passengers depart for connecting flights took longer exit plane than get the departing gate for next flight was therefore three minutes late checking and not allowed board flight requiring overnight stay Dallas
128,Terrible experience never again First off they canceled flight and put flight that got versus the original When got the airport and asked the reason they stated ugh think weather when was both sunny and beautiful both places After about three times asking there was another flight one magically appeared that got instead flew Phoenix layover and got connecting flight and the lady told carry wouldn fit explained her just carried from the previous destination and she told continued make deal she would get her manager and would not let the flight work customer service and this airline far from Not friendly inconvenient and very rude will pay lot more money fly another airline than this one again Save your time and patience and choose something else
129,The reason our small flight was delayed was because the crew was not informed the proper departure time For some reason the passengers were all there but the crew was not Get your shit together American Airlines
130,Tuesday April flew back home with American Airlines DFW Airport flight was scheduled depart around when was time board they announced that the flight would delayed because the First Officer was Washington Where lives and his flight had not yet departed for LGA Flight was delayed half hour later they came back saying that the plane had still not departed and probably wouldn until much later around the pilot announced that the First Officer flight had barely taken off and hopefully could depart finally began boarding around and did not depart until almost was supposed land DFW and did not land until past reached out hoping they could somehow fix this situation since was not mechanical operational due weather and the most got was apology Unfortunately has been declining punctuality and Customer service longer reliable used Very disappointing
