Customer_ID,ItemPurchased
Id 331,Item 6
Id 332,Item 39
Id 333,Item 19
Id 334,Item 28
Id 335,Item 48
Id 336,Item 63
Id 337,Item 60
Id 338,Item 62
Id 339,Item 14
Id 340,Item 58
Id 341,Item 80
Id 342,Item 8
Id 343,Item 2
Id 344,Item 77
Id 345,Item 62
Id 346,Item 58
Id 347,Item 27
Id 348,Item 22
Id 349,Item 75
Id 350,Item 2
Id 351,Item 23
Id 352,Item 44
Id 353,Item 23
Id 354,Item 31
Id 355,Item 7
Id 356,Item 36
Id 357,Item 53
Id 358,Item 27
Id 359,Item 27
Id 360,Item 31
Id 361,Item 2
Id 362,Item 20
Id 363,Item 66
Id 364,Item 74
Id 365,Item 22
Id 366,Item 19
Id 367,Item 62
Id 368,Item 29
Id 369,Item 65
Id 370,Item 56
Id 371,Item 15
Id 372,Item 62
Id 373,Item 39
Id 374,Item 60
Id 375,Item 46
Id 376,Item 7
Id 377,Item 31
Id 378,Item 59
Id 379,Item 52
Id 380,Item 49
Id 381,Item 29
Id 382,Item 30
Id 383,Item 15
Id 384,Item 59
Id 385,Item 38
Id 386,Item 62
Id 387,Item 13
Id 388,Item 53
Id 389,Item 34
Id 390,Item 7
Id 391,Item 13
Id 392,Item 29
Id 393,Item 28
Id 394,Item 45
Id 395,Item 72
Id 396,Item 15
Id 397,Item 28
Id 398,Item 49
Id 399,Item 79
Id 400,Item 31
Id 401,Item 9
Id 402,Item 67
Id 403,Item 71
Id 404,Item 14
Id 405,Item 70
Id 406,Item 59
Id 407,Item 66
Id 408,Item 11
Id 409,Item 10
Id 410,Item 53
Id 411,Item 20
Id 412,Item 77
Id 413,Item 25
Id 414,Item 80
Id 415,Item 74
Id 416,Item 31
Id 417,Item 58
Id 418,Item 46
Id 419,Item 17
Id 420,Item 45
Id 421,Item 33
Id 422,Item 42
Id 423,Item 76
Id 424,Item 75
Id 425,Item 32
Id 426,Item 39
Id 427,Item 11
Id 428,Item 30
Id 429,Item 56
Id 430,Item 23
Id 431,Item 1
Id 432,Item 55
Id 433,Item 5
Id 434,Item 59
Id 435,Item 51
Id 436,Item 61
Id 437,Item 1
Id 438,Item 22
Id 439,Item 53
Id 440,Item 5
Id 441,Item 22
Id 442,Item 11
Id 443,Item 32
Id 444,Item 46
Id 445,Item 5
Id 446,Item 38
Id 447,Item 22
Id 448,Item 44
Id 449,Item 73
Id 450,Item 70
Id 451,Item 14
Id 452,Item 14
Id 453,Item 60
Id 454,Item 37
Id 455,Item 32
Id 456,Item 80
Id 457,Item 27
Id 458,Item 64
Id 459,Item 20
Id 460,Item 78
Id 461,Item 22
Id 462,Item 7
Id 463,Item 74
Id 464,Item 40
Id 465,Item 1
Id 466,Item 56
Id 467,Item 37
Id 468,Item 33
Id 469,Item 60
Id 470,Item 44
Id 471,Item 27
Id 472,Item 77
Id 473,Item 29
Id 474,Item 35
Id 475,Item 61
Id 476,Item 10
Id 477,Item 21
Id 478,Item 80
Id 479,Item 36
Id 480,Item 62
Id 481,Item 30
Id 482,Item 21
Id 483,Item 46
Id 484,Item 53
Id 485,Item 79
Id 486,Item 46
Id 487,Item 78
Id 488,Item 17
Id 489,Item 75
Id 490,Item 60
Id 491,Item 41
Id 492,Item 41
Id 493,Item 56
Id 494,Item 5
Id 495,Item 70
Id 496,Item 2
Id 497,Item 60
Id 498,Item 35
Id 499,Item 64
Id 500,Item 34
Id 501,Item 77
Id 502,Item 52
Id 503,Item 24
Id 504,Item 26
Id 505,Item 74
Id 506,Item 53
Id 507,Item 28
Id 508,Item 9
Id 509,Item 6
Id 510,Item 14
Id 511,Item 44
Id 512,Item 66
Id 513,Item 14
Id 514,Item 23
Id 515,Item 46
Id 516,Item 71
Id 517,Item 19
Id 518,Item 66
Id 519,Item 31
Id 520,Item 63
Id 521,Item 66
Id 522,Item 34
Id 523,Item 53
Id 524,Item 26
Id 525,Item 26
Id 526,Item 77
Id 527,Item 17
Id 528,Item 13
Id 529,Item 5
Id 530,Item 80
Id 531,Item 60
Id 532,Item 6
Id 533,Item 71
Id 534,Item 53
Id 535,Item 59
Id 536,Item 9
Id 537,Item 25
Id 538,Item 73
Id 539,Item 28
Id 540,Item 6
Id 541,Item 67
Id 542,Item 35
Id 543,Item 8
Id 544,Item 35
Id 545,Item 60
Id 546,Item 13
Id 547,Item 33
Id 548,Item 13
Id 549,Item 59
Id 550,Item 35
Id 551,Item 52
Id 552,Item 11
Id 553,Item 53
Id 554,Item 51
Id 555,Item 72
Id 556,Item 63
Id 557,Item 76
Id 558,Item 23
Id 559,Item 76
Id 560,Item 38
Id 561,Item 35
Id 562,Item 57
Id 563,Item 70
Id 564,Item 60
Id 565,Item 77
Id 566,Item 31
Id 567,Item 46
Id 568,Item 49
Id 569,Item 59
Id 570,Item 17
Id 571,Item 75
Id 572,Item 58
Id 573,Item 76
Id 574,Item 58
Id 575,Item 24
Id 576,Item 80
Id 577,Item 14
Id 578,Item 77
Id 579,Item 18
Id 580,Item 8
Id 581,Item 59
Id 582,Item 14
Id 583,Item 10
Id 584,Item 36
Id 585,Item 34
Id 586,Item 30
Id 587,Item 28
Id 588,Item 28
Id 589,Item 47
Id 590,Item 41
Id 591,Item 24
Id 592,Item 77
Id 593,Item 13
Id 594,Item 16
Id 595,Item 34
Id 596,Item 16
Id 597,Item 69
Id 598,Item 63
Id 599,Item 4
Id 600,Item 4
Id 601,Item 6
Id 602,Item 78
Id 603,Item 38
Id 604,Item 13
Id 605,Item 71
Id 606,Item 34
Id 607,Item 19
Id 608,Item 68
Id 609,Item 48
Id 610,Item 58
Id 611,Item 26
Id 612,Item 38
Id 613,Item 48
Id 614,Item 38
Id 615,Item 25
Id 616,Item 22
Id 617,Item 52
Id 618,Item 11
Id 619,Item 72
Id 620,Item 34
Id 621,Item 21
Id 622,Item 58
Id 623,Item 50
Id 624,Item 13
Id 625,Item 36
Id 626,Item 61
Id 627,Item 61
Id 628,Item 15
Id 629,Item 11
Id 630,Item 9
Id 631,Item 36
Id 632,Item 23
Id 633,Item 73
Id 634,Item 44
Id 635,Item 39
Id 636,Item 34
Id 637,Item 66
Id 638,Item 56
Id 639,Item 11
Id 640,Item 57
Id 641,Item 37
Id 642,Item 60
Id 643,Item 49
Id 644,Item 60
Id 645,Item 38
Id 646,Item 28
Id 647,Item 34
Id 648,Item 22
Id 649,Item 71
Id 650,Item 22
Id 651,Item 61
Id 652,Item 77
Id 653,Item 18
Id 654,Item 23
Id 655,Item 73
Id 656,Item 48
Id 657,Item 6
Id 658,Item 50
Id 659,Item 12
Id 660,Item 20
Id 661,Item 50
Id 662,Item 59
Id 663,Item 15
Id 664,Item 49
Id 665,Item 21
Id 666,Item 24
Id 667,Item 46
Id 668,Item 73
Id 669,Item 36
Id 670,Item 59
Id 671,Item 80
Id 672,Item 31
Id 673,Item 46
Id 674,Item 61
Id 675,Item 13
Id 676,Item 27
Id 677,Item 31
Id 678,Item 77
Id 679,Item 50
Id 680,Item 73
Id 681,Item 49
Id 682,Item 18
Id 683,Item 49
Id 684,Item 57
Id 685,Item 27
Id 686,Item 80
Id 687,Item 32
Id 688,Item 26
Id 689,Item 27
Id 690,Item 22
Id 691,Item 4
Id 692,Item 73
Id 693,Item 44
Id 694,Item 4
Id 695,Item 6
Id 696,Item 79
Id 697,Item 26
Id 698,Item 27
Id 699,Item 12
Id 700,Item 19
Id 701,Item 32
Id 702,Item 77
Id 703,Item 70
Id 704,Item 35
Id 705,Item 14
Id 706,Item 56
Id 707,Item 34
Id 708,Item 56
Id 709,Item 39
Id 710,Item 66
Id 711,Item 77
Id 712,Item 24
Id 713,Item 23
Id 714,Item 1
Id 715,Item 68
Id 716,Item 56
Id 717,Item 63
Id 718,Item 8
Id 719,Item 66
Id 720,Item 65
Id 721,Item 42
Id 722,Item 66
Id 723,Item 64
Id 724,Item 42
Id 725,Item 71
Id 726,Item 20
Id 727,Item 24
Id 728,Item 8
Id 729,Item 52
Id 730,Item 55
Id 731,Item 30
Id 732,Item 52
Id 733,Item 77
Id 734,Item 34
Id 735,Item 40
Id 736,Item 80
Id 737,Item 19
Id 738,Item 19
Id 739,Item 40
Id 740,Item 40
Id 741,Item 56
Id 742,Item 79
Id 743,Item 29
Id 744,Item 29
Id 745,Item 39
Id 746,Item 20
Id 747,Item 54
Id 748,Item 39
Id 749,Item 19
Id 750,Item 20
Id 751,Item 30
Id 752,Item 1
Id 753,Item 48
Id 754,Item 40
Id 755,Item 49
Id 756,Item 70
Id 757,Item 57
Id 758,Item 59
Id 759,Item 73
Id 760,Item 55
Id 761,Item 71
Id 762,Item 53
Id 763,Item 52
Id 764,Item 40
Id 765,Item 53
Id 766,Item 19
Id 767,Item 32
Id 768,Item 7
Id 769,Item 67
Id 770,Item 18
Id 771,Item 44
Id 772,Item 42
Id 773,Item 19
Id 774,Item 41
Id 775,Item 33
Id 776,Item 53
Id 777,Item 64
Id 778,Item 39
Id 779,Item 36
Id 780,Item 48
Id 781,Item 70
Id 782,Item 3
Id 783,Item 3
Id 784,Item 80
Id 785,Item 52
Id 786,Item 30
Id 787,Item 78
Id 788,Item 57
Id 789,Item 23
Id 790,Item 59
Id 791,Item 50
Id 792,Item 47
Id 793,Item 73
Id 794,Item 77
Id 795,Item 30
Id 796,Item 52
Id 797,Item 13
Id 798,Item 30
Id 799,Item 24
Id 800,Item 47
Id 801,Item 78
Id 802,Item 34
Id 803,Item 61
Id 804,Item 7
Id 805,Item 23
Id 806,Item 33
Id 807,Item 9
Id 808,Item 8
Id 809,Item 32
Id 810,Item 41
Id 811,Item 68
Id 812,Item 74
Id 813,Item 28
Id 814,Item 26
Id 815,Item 5
Id 816,Item 79
Id 817,Item 2
Id 818,Item 39
Id 819,Item 73
Id 820,Item 32
Id 821,Item 63
Id 822,Item 54
Id 823,Item 66
Id 824,Item 9
Id 825,Item 8
Id 826,Item 24
Id 827,Item 9
Id 828,Item 24
Id 829,Item 73
Id 830,Item 41
Id 831,Item 70
Id 832,Item 19
Id 833,Item 36
Id 834,Item 10
Id 835,Item 46
Id 836,Item 44
Id 837,Item 11
Id 838,Item 60
Id 839,Item 57
Id 840,Item 39
Id 841,Item 28
Id 842,Item 68
Id 843,Item 28
Id 844,Item 35
Id 845,Item 50
Id 846,Item 73
Id 847,Item 26
Id 848,Item 28
Id 849,Item 64
Id 850,Item 21
Id 851,Item 31
Id 852,Item 7
Id 853,Item 55
Id 854,Item 58
Id 855,Item 70
Id 856,Item 79
Id 857,Item 2
Id 858,Item 43
Id 859,Item 21
Id 860,Item 35
Id 861,Item 7
Id 862,Item 59
Id 863,Item 72
Id 864,Item 77
Id 865,Item 7
Id 866,Item 75
Id 867,Item 62
Id 868,Item 13
Id 869,Item 64
Id 870,Item 80
Id 871,Item 2
Id 872,Item 13
Id 873,Item 13
Id 874,Item 22
Id 875,Item 59
Id 876,Item 80
Id 877,Item 36
Id 878,Item 5
Id 879,Item 36
Id 880,Item 24
Id 881,Item 18
Id 882,Item 5
Id 883,Item 37
Id 884,Item 38
Id 885,Item 17
Id 886,Item 41
Id 887,Item 36
Id 888,Item 31
Id 889,Item 36
Id 890,Item 70
Id 891,Item 47
Id 892,Item 21
Id 893,Item 80
Id 894,Item 48
Id 895,Item 51
Id 896,Item 59
Id 897,Item 52
Id 898,Item 63
Id 899,Item 54
Id 900,Item 26
Id 901,Item 6
Id 902,Item 46
Id 903,Item 54
Id 904,Item 21
Id 905,Item 49
Id 906,Item 23
Id 907,Item 15
Id 908,Item 51
Id 909,Item 39
Id 910,Item 46
Id 911,Item 36
Id 912,Item 61
Id 913,Item 37
Id 914,Item 67
Id 915,Item 17
Id 916,Item 55
Id 917,Item 6
Id 918,Item 9
Id 919,Item 1
Id 920,Item 5
Id 921,Item 59
Id 922,Item 32
Id 923,Item 47
Id 924,Item 50
Id 925,Item 43
Id 926,Item 51
Id 927,Item 49
Id 928,Item 6
Id 929,Item 16
Id 930,Item 43
Id 931,Item 13
Id 932,Item 66
Id 933,Item 1
Id 934,Item 49
Id 935,Item 62
Id 936,Item 47
Id 937,Item 46
Id 938,Item 32
Id 939,Item 32
Id 940,Item 17
Id 941,Item 42
Id 942,Item 61
Id 943,Item 13
Id 944,Item 15
Id 945,Item 44
Id 946,Item 12
Id 947,Item 33
Id 948,Item 72
Id 949,Item 11
Id 950,Item 44
Id 951,Item 63
Id 952,Item 9
Id 953,Item 36
Id 954,Item 36
Id 955,Item 47
Id 956,Item 27
Id 957,Item 12
Id 958,Item 18
Id 959,Item 67
Id 960,Item 38
Id 961,Item 42
Id 962,Item 39
Id 963,Item 75
Id 964,Item 37
Id 965,Item 37
Id 966,Item 50
Id 967,Item 18
Id 968,Item 73
Id 969,Item 36
Id 970,Item 76
Id 971,Item 46
Id 972,Item 50
Id 973,Item 10
Id 974,Item 7
Id 975,Item 40
Id 976,Item 2
Id 977,Item 3
Id 978,Item 12
Id 979,Item 56
Id 980,Item 17
Id 981,Item 80
Id 982,Item 26
Id 983,Item 6
Id 984,Item 58
Id 985,Item 37
Id 986,Item 76
Id 987,Item 24
Id 988,Item 78
Id 989,Item 40
Id 990,Item 62
Id 991,Item 49
Id 992,Item 2
Id 993,Item 44
Id 994,Item 67
Id 995,Item 32
Id 996,Item 7
Id 997,Item 33
Id 998,Item 76
Id 999,Item 23
Id 1000,Item 43
Id 846,Item 68
Id 913,Item 59
Id 453,Item 47
Id 939,Item 26
Id 372,Item 49
Id 339,Item 27
Id 451,Item 73
Id 385,Item 22
Id 464,Item 48
Id 840,Item 21
Id 933,Item 1
Id 357,Item 4
Id 696,Item 21
Id 659,Item 50
Id 30,Item 74
Id 684,Item 65
Id 884,Item 70
Id 18,Item 60
Id 853,Item 55
Id 381,Item 61
Id 534,Item 1
Id 843,Item 32
Id 761,Item 53
Id 444,Item 48
Id 416,Item 18
Id 478,Item 60
Id 358,Item 36
Id 9,Item 74
Id 231,Item 29
Id 390,Item 79
Id 47,Item 63
Id 221,Item 41
Id 742,Item 1
Id 366,Item 29
Id 742,Item 43
Id 766,Item 7
Id 361,Item 58
Id 467,Item 7
Id 36,Item 2
Id 222,Item 51
Id 203,Item 21
Id 246,Item 38
Id 572,Item 62
Id 652,Item 73
Id 428,Item 50
Id 798,Item 10
Id 581,Item 65
Id 396,Item 22
Id 552,Item 39
Id 666,Item 36
Id 959,Item 24
Id 296,Item 42
Id 242,Item 1
Id 459,Item 61
Id 930,Item 7
Id 793,Item 43
Id 790,Item 55
Id 191,Item 75
Id 921,Item 64
Id 868,Item 11
Id 559,Item 35
Id 280,Item 46
Id 119,Item 36
Id 332,Item 18
Id 390,Item 22
Id 591,Item 21
Id 242,Item 53
Id 245,Item 76
Id 465,Item 19
Id 757,Item 1
Id 68,Item 60
Id 795,Item 68
Id 945,Item 44
Id 687,Item 73
Id 386,Item 24
Id 192,Item 54
Id 452,Item 41
Id 587,Item 13
Id 608,Item 31
Id 595,Item 8
Id 436,Item 37
Id 857,Item 79
Id 835,Item 31
Id 104,Item 3
Id 844,Item 62
Id 890,Item 2
Id 643,Item 31
Id 219,Item 42
Id 865,Item 11
Id 281,Item 38
Id 205,Item 56
Id 80,Item 80
Id 79,Item 70
Id 566,Item 66
Id 327,Item 14
Id 973,Item 13
Id 409,Item 9
Id 177,Item 12
Id 236,Item 66
Id 959,Item 42
Id 486,Item 22
Id 106,Item 47
Id 185,Item 19
Id 955,Item 1
Id 633,Item 23
Id 140,Item 5
Id 493,Item 8
Id 844,Item 44
Id 6,Item 3
Id 647,Item 58
Id 625,Item 80
Id 625,Item 32
Id 461,Item 73
Id 233,Item 22
Id 342,Item 76
Id 225,Item 25
Id 79,Item 38
Id 497,Item 31
Id 580,Item 62
Id 590,Item 55
Id 969,Item 76
Id 155,Item 48
Id 629,Item 19
Id 478,Item 14
Id 336,Item 56
Id 339,Item 21
Id 676,Item 36
Id 529,Item 44
Id 629,Item 78
Id 103,Item 78
Id 806,Item 77
Id 214,Item 53
Id 101,Item 19
Id 42,Item 26
Id 226,Item 21
Id 809,Item 13
Id 69,Item 26
Id 657,Item 66
Id 752,Item 36
Id 95,Item 31
Id 4,Item 69
Id 470,Item 80
Id 566,Item 11
Id 189,Item 26
Id 533,Item 52
Id 953,Item 15
Id 606,Item 76
Id 106,Item 9
Id 143,Item 10
Id 686,Item 23
Id 658,Item 39
Id 577,Item 5
Id 472,Item 23
Id 280,Item 4
Id 142,Item 71
Id 785,Item 14
Id 533,Item 5
Id 116,Item 54
Id 867,Item 64
Id 770,Item 7
Id 637,Item 48
Id 75,Item 42
Id 724,Item 12
Id 693,Item 50
Id 338,Item 30
Id 969,Item 31
Id 492,Item 41
Id 146,Item 28
Id 246,Item 6
Id 949,Item 3
Id 530,Item 12
Id 103,Item 48
Id 228,Item 19
Id 513,Item 13
Id 252,Item 55
Id 143,Item 52
Id 716,Item 36
Id 574,Item 76
Id 224,Item 55
Id 209,Item 78
Id 758,Item 23
Id 165,Item 28
Id 552,Item 76
Id 934,Item 41
Id 52,Item 26
Id 839,Item 69
Id 2,Item 34
Id 4,Item 58
Id 614,Item 4
Id 683,Item 39
Id 259,Item 46
Id 25,Item 42
Id 190,Item 14
Id 297,Item 73
Id 146,Item 71
Id 891,Item 79
Id 707,Item 39
Id 453,Item 71
Id 910,Item 2
Id 244,Item 15
Id 44,Item 4
Id 837,Item 66
Id 880,Item 26
Id 982,Item 46
Id 818,Item 68
Id 19,Item 2
Id 786,Item 48
Id 412,Item 74
Id 132,Item 41
Id 589,Item 14
Id 394,Item 74
Id 732,Item 46
Id 541,Item 60
Id 528,Item 17
Id 939,Item 9
Id 726,Item 7
Id 869,Item 6
Id 609,Item 24
Id 370,Item 12
Id 950,Item 21
Id 390,Item 38
Id 178,Item 10
Id 303,Item 7
Id 863,Item 24
Id 166,Item 53
Id 462,Item 70
Id 449,Item 62
Id 383,Item 54
Id 190,Item 41
Id 364,Item 38
Id 869,Item 75
Id 813,Item 28
Id 206,Item 11
Id 842,Item 35
Id 17,Item 29
Id 560,Item 7
Id 471,Item 53
Id 957,Item 52
Id 444,Item 6
Id 259,Item 38
Id 816,Item 66
Id 904,Item 25
Id 432,Item 80
Id 768,Item 69
Id 142,Item 10
Id 702,Item 34
Id 33,Item 37
Id 623,Item 24
Id 46,Item 63
Id 30,Item 60
Id 757,Item 77
Id 416,Item 31
Id 12,Item 35
Id 299,Item 4
Id 635,Item 80
Id 908,Item 36
Id 261,Item 5
Id 784,Item 32
Id 76,Item 26
Id 898,Item 56
Id 538,Item 46
Id 185,Item 9
Id 456,Item 60
Id 194,Item 2
Id 181,Item 8
Id 580,Item 24
Id 315,Item 49
Id 314,Item 45
Id 962,Item 67
Id 253,Item 40
Id 63,Item 28
Id 574,Item 62
Id 477,Item 75
Id 754,Item 3
Id 973,Item 8
Id 414,Item 22
Id 566,Item 34
Id 265,Item 34
Id 184,Item 12
Id 448,Item 31
Id 408,Item 29
Id 407,Item 64
Id 522,Item 19
Id 537,Item 53
Id 824,Item 56
Id 602,Item 26
Id 354,Item 29
Id 728,Item 15
Id 494,Item 2
Id 371,Item 17
Id 614,Item 23
Id 815,Item 21
Id 656,Item 2
Id 371,Item 74
Id 569,Item 75
Id 75,Item 26
Id 897,Item 50
Id 532,Item 18
Id 671,Item 38
Id 591,Item 77
Id 284,Item 58
Id 57,Item 27
Id 281,Item 28
Id 123,Item 29
Id 952,Item 12
Id 478,Item 80
Id 336,Item 29
Id 559,Item 60
Id 150,Item 57
Id 400,Item 34
Id 165,Item 61
Id 530,Item 44
Id 951,Item 58
Id 69,Item 45
Id 229,Item 55
Id 923,Item 4
Id 343,Item 10
Id 688,Item 39
Id 185,Item 59
Id 336,Item 38
Id 821,Item 36
Id 975,Item 57
Id 225,Item 26
Id 99,Item 3
Id 878,Item 42
Id 172,Item 59
Id 212,Item 34
Id 368,Item 5
Id 167,Item 2
Id 184,Item 57
Id 920,Item 58
Id 190,Item 18
Id 858,Item 24
Id 40,Item 70
Id 847,Item 75
Id 162,Item 25
Id 639,Item 76
Id 438,Item 30
Id 578,Item 33
Id 420,Item 34
Id 111,Item 47
Id 992,Item 55
Id 557,Item 28
Id 442,Item 75
Id 592,Item 77
Id 57,Item 50
Id 232,Item 26
Id 900,Item 33
Id 717,Item 68
Id 927,Item 67
Id 263,Item 20
Id 464,Item 49
Id 509,Item 34
Id 921,Item 77
Id 612,Item 12
Id 307,Item 66
Id 122,Item 13
Id 841,Item 2
Id 85,Item 61
Id 706,Item 45
Id 340,Item 80
Id 124,Item 14
Id 559,Item 42
Id 874,Item 36
Id 812,Item 9
Id 702,Item 77
Id 845,Item 8
Id 214,Item 66
Id 914,Item 4
Id 973,Item 44
Id 129,Item 71
Id 346,Item 29
Id 681,Item 36
Id 566,Item 56
Id 336,Item 2
Id 909,Item 48
Id 705,Item 36
Id 81,Item 34
Id 505,Item 1
Id 981,Item 43
Id 572,Item 76
Id 721,Item 56
Id 864,Item 36
Id 250,Item 23
Id 34,Item 64
Id 628,Item 15
Id 584,Item 15
Id 333,Item 41
Id 858,Item 32
Id 844,Item 2
Id 175,Item 17
Id 744,Item 34
Id 192,Item 12
Id 618,Item 68
Id 469,Item 74
Id 928,Item 26
