status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
527750833927938_1487447961291549,"Dear Friends of the FIT Closet,
Happy Holidays to you all! Hope you have a truly joyous time with family and friends over the Holiday break and that the joy and love you have brought to so many this year through your generous support of the FIT Closet and Clothing Exchange will warm your hearts and encourage your spirit. Thank you all so much.  
We have a few important pieces of information to share with you:
• The FIT Closet’s Holiday schedule is as follows:  Open Monday and Wednesday Dec. 18th & 20th mornings only (No Afternoon hours that week).  Closed for the Winter break from Dec. 21st thru Jan. 8th.
• The FIT Closet and Clothing Exchange has a new Phone number please mark it down.  Our new number is 785-320-6750
• We have received so much from our generous donors that we are stuffed and can only receive items on our critical needs list until after the holidays.
Critical Needs
Children’s Winter Clothes (currently not taking summer)
Hats and mittens
Winter coats for Children sizes 5-16.
Laundry soap
Toothpaste and toothbrushes
Deodorant
Soap and body wash
Skin lotion
Toilet paper
Boys shoes sizes 1-6*(not toddlers)
Girls shoes sizes 3-5 (not toddlers)
Snow boots all sizes children – adult.
Blankets       

For more information or for a visit to your club or organization please call the FIT Closet and Clothing Exchange and ask for Barb.  #785-320-6750",,status,,2017-12-06 12:08:10,10,0,13
527750833927938_1487403517962660,"Today Schedule:
December 6, 2017
3:30 p.m. - Boys Swimming/Diving vs Dodge City/Lawrence Free State @ KSU
7:00 p.m. - Choir Concert @ Rezac Auditorium MHSW",,status,,2017-12-06 10:58:54,0,0,0
527750833927938_1486636904705988,"PLEASE NOTE:
Correction to the Student planner:
Senior last day of class will be Thursday, May 17, 2018 NOT Wednesday, May 16, 2018.",,status,,2017-12-05 15:00:04,0,0,0
527750833927938_1486383611397984,"Today, December 5 @ 5:30 p.m.
STUCO Club Feast @ MHSW",,status,,2017-12-05 09:14:01,1,0,0
527750833927938_1486361194733559,"Finals Schedule

Tuesday, December 19
7:40 -9:15  Period 1 - Final
9:20-10:55  Advisory - (study time)
10:55-1:10 - Period 2 Final - (including lunch)
1:15-2:50  Period 3 -Final

Wednesday, December 20
7:40-9:15 Period 4 Final
9:20 - 10:55  Period 5 Final
10:55 - 1:10  Period 6 Final -(including lunch)
1:15-2:50 Period 7 Final

When students return from Winter Break on Thursday January 4, 2018 we will operate on a full seven-period schedule.  First semester grade reports will be mailed home on Friday January 5, 2018.",,status,,2017-12-05 08:49:45,0,1,0
527750833927938_1485399491496396,The Clothing Connections at MHS-West -,Photos from USD 383: Manhattan High School's post,photo,https://www.facebook.com/383Indians/photos/a.719860491383637.1073741828.527750833927938/1485399334829745/?type=3,2017-12-04 09:14:31,4,0,0
527750833927938_1481747348528277,"Hey MHS Kids!  We are having a new shop at MHS West on Friday, December 1 and Monday December 4th.  It is call THE CLOTHING CONNECTION.  Stop by the Alumni Room anytime Friday or Monday and get yourself some new fashions!  Both Boys and Girls clothing is available.  Stop by and have a look!  There is NO CHARGE FOR ANY CLOTHING!  This is sponsored by our West Campus Social Worker, Stephanie Thomas and National Honor Society.",,status,,2017-11-30 16:47:16,9,0,1
527750833927938_1481613965208282,"Winter Break:
No School for all USD 383 schools - December 21 - January 3, 2018.  Enjoy Winter Break",,status,,2017-11-30 13:55:02,5,0,1
527750833927938_1481558785213800,"Congratulations to our November Carlos O'Kellys Student and Teacher of the Month!
Aza Davis-Picou is a senior at MHS and Samantha Brown teaches Special Education at West Campus.",,photo,https://www.facebook.com/383Indians/photos/a.719860491383637.1073741828.527750833927938/1481557958547216/?type=3,2017-11-30 12:38:02,5,0,0
527750833927938_1481360748566937,"Listen up girls - if you are interested in trying out for the Bowling team, come out today from 3:30-5:30 p.m.  Little Apple Bowling - 515 Richards Drive",,status,,2017-11-30 08:28:24,1,0,1
527750833927938_1480671698635842,"Thursday, November 30 - MHS Marching Band Concert @ MHS Rezac Auditorium - 7:00 p.m.",,status,,2017-11-29 15:05:26,7,0,5
527750833927938_1480405605329118,Mr. Nelson's Advanced Chemistry Lab today 11/29,,photo,https://www.facebook.com/383Indians/photos/a.719860491383637.1073741828.527750833927938/1480405545329124/?type=3,2017-11-29 09:29:20,7,0,0
527750833927938_1479433145426364,"Students this semester's Distinguish Service hours are due Wednesday, December 20th.  LATE VERIFICATION FORMS WILL NOT BE ACCEPTED!  Stop by the Counseling Office and check the board for your current hours.",,status,,2017-11-28 09:19:16,2,1,1
527750833927938_1479390388763973,First Place in Oklahoma City in Culinary competitions:  Mason Jackson and Cristina Martinez,,photo,https://www.facebook.com/383Indians/photos/a.719860491383637.1073741828.527750833927938/1479389798764032/?type=3,2017-11-28 08:32:31,27,2,4
527750833927938_1479380008765011,"MHS Bowling  : Roll Tribe : Try outs will be Nov. 28 - Nov. 30, 2017: 3:30 pm - 5:30 p.m @ Little Apple Lanes  515 Richards Drive",,status,,2017-11-28 08:17:20,4,0,0
527750833927938_1478457332190612,"Business Professionals of America (BPA) is holding a fundraiser this Wednesday, November 29, from 4:00 - 8:00 p.m. at Panda Paradise.  In order for the club to benefit from a sale, customers need to either show the attached flyer OR, if online, use the promo code 238560.  BPA Thanks You!",,photo,https://www.facebook.com/383Indians/photos/a.719860491383637.1073741828.527750833927938/1478456025524076/?type=3,2017-11-27 15:35:59,3,2,3
527750833927938_1478287185540960,"TUESDAY, NOVEMBER 28
MHS PARENT'S NIGHT FOR WINTER SPORTS @ 7:00 P.M. - SOUTH GYM MHSW",,status,,2017-11-27 12:15:14,2,0,1
527750833927938_1478285982207747,"TUESDAY, NOVEMBER 28
6:30 PM - VARSITY WRESTLING INTRA-SQUAD SCRIMMAGE @ MHSW",,status,,2017-11-27 12:13:07,0,0,0
527750833927938_1478261978876814,"TONIGHT BLUE/WHITE BASKETBALL SCRIMMAGE AT MHSW
FIRST GAME IS AT 4:45",,status,,2017-11-27 11:35:50,0,0,0
527750833927938_1468380319864980,"Students and teachers, if you would like a breakfast of all you can eat pancakes, come to Longhorn Steakhouse this Saturday (November 18) between 7:30 - 10:00 a.m. to support MHS students traveling to Europe and Latin America.  Tickets are $5.",,status,,2017-11-16 09:25:15,6,0,2
527750833927938_1468375516532127,"PLEASE DISREGARD THE RUMOR :  THERE WILL BE SCHOOL TOMORROW, FRIDAY, NOVEMBER 17, 2017",,status,,2017-11-16 09:21:37,3,0,0
527750833927938_1467833739919638,Mr. MHS applications are available now in the Main Office at West Campus.  Applications are due December 13.,,status,,2017-11-15 16:36:55,0,0,0
527750833927938_1462018847167794,"SALVATION ARMY ANGEL TREE:
Applications must be submitted in person to the Salvation Army Office at 308 Poyntz Ave, Manhattan, KS 66502 no later than November 17.  Applications require copies of social security cards and proof of all income.  Incomplete applications will not be accepted. For more information, contact Matt at the Salvation Army at 785-320-5396.
ADDITIONAL HOLIDAY PROGRAMS
Free Thanksgiving dinner at Old Chicago, 2001 Clock Tower Plaza (near intersection of Scenic Drive and Kimball in Manhattan) on Thanksgiving Day from 11 am till 2 pm.
 
Toys for Manhattan:  This annual program requires no sign up or application.  New and experienced toys are available for free for area residents.  This program is held   Saturday Dec. 2, Saturday Dec. 9 and Saturday Dec. 16 from 9 am till 1 pm each day. Location:  TBD.",,status,,2017-11-09 13:07:14,2,0,0
527750833927938_1462018100501202,"MHS INDIANS BOOSTER CLUB
APPRECIATION EVENT

November is the perfect time to celebrate student success, and give thanks to all who support the MHS Indians Booster Club! 

The list of Fall student accomplishments is a long one. Join MHS student leaders and booster club members at Varsity Donuts in Aggieville on Saturday, November 18 from 8:00 – 10:00a.m. The first 125 guests will be recognized with a FREE MHS donut. 

DO YOU KNOW a family or business who should join MHS Indians Booster Club?  Bring a friend!  We'll sign them up for membership, and they'll get a FREE donut, too.

Let's celebrate STUDENT SUCCESS!  #RollTribe",,photo,https://www.facebook.com/383Indians/photos/a.719860491383637.1073741828.527750833927938/1462017613834584/?type=3,2017-11-09 13:06:04,2,0,1
527750833927938_1461977557171923,"Girls' Soccer Informational meeting, Friday, November 10 at 3:00 in the Little Theater at West Campus.  Thanks Coach Sanchez.",,status,,2017-11-09 11:57:56,0,0,0
527750833927938_1461871607182518,THANKSGIVING HOLIDAY MEAL WILL BE AT OLD CHICAGO.  SERVING WILL BEGIN AT 11 A.M. TO 2 P.M.  THE ADDRESS IS 2001 CLOCK TOWER PLACE (OFF KIMBALL AVENUE AND VANESTA DRIVE) ALL ARE WELCOME.,,status,,2017-11-09 09:18:07,4,5,3
527750833927938_1461197397249939,"Girl's Soccer informational meeting from 3-3:30 in the Little Theater at West Campus on Friday, November 10.",,status,,2017-11-08 13:21:15,0,2,0
527750833927938_1460439043992441,"LOST AND FOUND, CHECK OUT THE TABLE IN THE COMMONS AT WEST. YOU MAY FIND WHAT YOU LOST.",,status,,2017-11-07 16:23:31,0,0,0
527750833927938_1460438470659165,"Tomorrow evening, November 8,  from 5-7 National Honor Society is hosting a game night in the South Gym at West Campus.  It will be board games and gym games.  Come and enjoy dead week with your friends!",,status,,2017-11-07 16:22:45,11,2,0
527750833927938_1460419160661096,"MANHATTAN  HIGH  SCHOOL
WINTER SPORTS 1ST DAY PRACTICE TIME AND PLACE:
November 13, 2017

BOYS BASKETBALL PRACTICE – Varsity / JV 
 Monday, Nov.13th  5:30  – 8:00 pm – North Gym MHSW
 Tuesday, Nov. 14th  3:15 – 6:00pm – North Gym MHSW 
 Wednesday, Nov. 15th 5:30 – 8:00pm – North Gym MHSW
BOYS BASKETBALL PRACTICE – 9th Grade
 Monday Nov. 13th  3:15  – 5:30 pm – South Gym MHSW
 Tuesday Nov. 14th  6:00 – 8:00pm – South Gym MHSW 
 Wednesday Nov. 15th 3:15-5:30pm – South Gym MHSW
GIRLS BASKETBALL PRACTICE – Varsity / JV 
 Monday Nov.13th – 3:15 pm – 6:00pm  – North Gym MHSW
 Tuesday Nov. 14th – 5:30-8:00pm – North Gym MHSW
 Wednesday Nov. 15th – 3:15-6:00pm – North Gym MHSW
GIRLS BASKETBALL PRACTICE – 9th Grade
 Monday Nov.13th – 6:00 pm – 8:00 pm – South Gym MHSW
  Tuesday Nov. 14th – 3:15-5:30pm – South Gym MHSW
 Wednesday Nov. 15th – 6:00-8:00pm – South Gym MHSW
WRESTLING
Monday November 13th – 3:00 pm-5:45pm – Fitness Center MHSW
*note: Parent pick up in the south teachers lot by the tennis courts

BOYS SWIMMING / DIVING 
 Monday Nov. 13th – 3:30-5:45pm – KSU Natatorium
 Tuesday Nov. 14th – 3:30-5:30pm – KSU Natatorium
 

 BOWLING BOYS/GIRLS JV/V:
 Tuesday – Wednesday Nov. 28 – Nov. 29 – 3:30-5:30pm
 @ Little Apple Lanes

 CHEERLEADING:
 Monday Nov. 13th 4:00-7:00PM – MHSE Auditorium
 Thursday Nov. 16th 4:00-7:00PM – MHSE Auditorium",,status,,2017-11-07 15:59:27,2,0,1
527750833927938_1456449614391384,ALL GIRLS INTERESTED IN TRYING OUT FOR GIRLS BASKETBALL CAN SIGN UP AND PICK UP INFORMATION SHEETS IN ROOM E-212 AT WEST CAMPUS.,,status,,2017-11-03 09:14:50,4,0,3
527750833927938_1455616604474685,"Carlos O'Kelly's Student/Teacher of the Month:
Congrats to Maggie Barbe -9th grade and Kory Cool - PE teacher/coach.",,photo,https://www.facebook.com/383Indians/photos/a.719860491383637.1073741828.527750833927938/1455616541141358/?type=3,2017-11-02 10:16:46,16,0,0
527750833927938_1454790634557282,"Admission for Friday's football game, November 4, 2017:
Adults: $6
Students: $5
KSAHSAA passes will be the only passes accepted.

NO STUDENT ACTIVITY PASSES OR ATHLETIC PASSES ACCEPTED.",,status,,2017-11-01 11:37:24,1,0,0
527750833927938_1454731397896539,"Dear Parents,
Just a reminder that winter sports tryouts and practices are coming up soon.  If your student plans to participate in tryouts, they will need a sport's physical packet filled out and turned into the Athletic Office.  The first day of winter sports will be Monday, November 13th.  If you have any questions, please feel free to call the Athletic Office at 587-2100 ext. 8007.",,status,,2017-11-01 10:14:18,0,0,1
527750833927938_1454089977960681,We are still collecting the Impact Aid Survey forms.  Check with your student and see if they have their form in their backpack.  If you need another form to fill out see Mrs. Hope in the Main Office at West Campus.  Thank you!,,status,,2017-10-31 15:47:59,0,0,0
527750833927938_1454004191302593,"Tomorrow is picture day at MHS, if you are a parent and you are available to help us in the morning, we could use your help from one parent.  Please contact Mrs. Hope at 587-2100 ext 8002.  Thanks",,status,,2017-10-31 13:33:22,0,2,1
527750833927938_1453993861303626,,,photo,https://www.facebook.com/383Indians/photos/a.719860491383637.1073741828.527750833927938/1453993154637030/?type=3,2017-10-31 13:16:03,1,1,0
527750833927938_1453851544651191,"On Wednesday, October 18 during Advisory time the MHS Students hosted a motivational guest speaker, Mr. Bill Wedekind.  Students were able to rotate through Rezac Auditorium to hear Mr. Wedekind speak on persistence, perseverance, and overcoming significant life challenges.  
Bill Wedekind is a master potter that currently resides in Texas.  Bill is an MHS graduate from the ""60's that served his country in Vietnam.  While in Vietnam, he had both of his hands blown off and lost his sight.  Yet, he perseveres and utilizes his talents to create beautiful pottery.
In the afternoon Mr. Wedekind show his skills to the Ceramics class.",,photo,https://www.facebook.com/383Indians/photos/a.719860491383637.1073741828.527750833927938/1453839997985679/?type=3,2017-10-31 09:42:54,33,1,4
527750833927938_1453141584722187,No Boys Basketball open gym tonight. (October 30) - Coach George,,status,,2017-10-30 13:16:30,0,0,0
527750833927938_1452915148078164,"MHS Stage Crew is preparing for the Fall Musical ""HELLO DOLLY""",Photos from USD 383: Manhattan High School's post,photo,https://www.facebook.com/383Indians/photos/a.719860491383637.1073741828.527750833927938/1452914181411594/?type=3,2017-10-30 08:10:28,25,0,1
527750833927938_1449524098417269,Congrats to Shafters Wilkerson and Chelsea Barten for winning the September Student and Teacher of the Month!,,photo,https://www.facebook.com/383Indians/photos/a.719860491383637.1073741828.527750833927938/1449523805083965/?type=3,2017-10-26 15:00:57,19,1,2
527750833927938_1449386618431017,"MHS Seniors:
If you did not pick up a cap and gown packet on Wednesday, stop by the Senior Office to pick up a packet.  The representative will be here on Wednesday, November 1st and November 8th to take orders.  NOVEMBER 8TH IS THE FINAL ORDER DATE.",,status,,2017-10-26 11:43:38,1,0,0
527750833927938_1449244898445189,"URGENT MESSAGE REGARDING TOMORROW'S FOOTBALL GAME: 

**ACTIVITY PASSES AND ALL ATHLETIC PASSES WILL BE ACCEPTED**

ADMISSION WILL BE:
                     ADULTS $6  
                     STUDENTS $3",,status,,2017-10-26 08:14:17,9,2,5
527750833927938_1447710845265261,"MHS Musical - HELLO DOLLY- Tickets will go on sale to the public Thursday, October 26.
Adults: $7; Students $5

Ticket Office will be open at various times:

Thursday, October 26: 10:30-3:30 p.m.
Friday, October 27: 10:30-3:30 p.m.
Monday, October 30 - 10:30 - 3:30 p.m.
Tuesday, October 31 - 1:00 - 3:30 p.m.
Wednesday, November 1 - 10:30 - 3:30 p.m.
Thursday, November 2 - 10:30 - 3:30 p.m.
Friday, November 3 - 10:30 - 3:30 p.m.
Monday, November 6 - 10:30 - 3:30 p.m.
Tuesday, November 7 - 1:00 - 3:30 p.m.
Wednesday, November 8 - 10:30 - 3:30 p.m.
Thursday, November 9 - 10:30 - 3:30 p.m.
Friday, November 10 - 10:30 - 3:30 p.m.

The ticket booth is located in the Main Office at West Campus.",,status,,2017-10-24 14:20:50,5,1,2
527750833927938_1447707131932299,"Picture Re-take day is Wednesday, November 1, 2017.
Pick up a picture packet from the Main office at East or West or Room C-103 at West.",,status,,2017-10-24 14:14:26,3,2,2
527750833927938_1447478668621812,"MHS Students!

Want to go to Topeka on Friday to cheer on the Volleyball team at the State Tournament!?  There will be a SPIRIT BUS available with a maximum of 40 seats available.  You will need to pick-up paperwork in Room C-103 at West Campus and get your paperwork turned back in by Thursday, October 26 by 1:00 p.m. in order to go on the trip.

MHS Athletic Office",,status,,2017-10-24 09:06:58,6,0,4
527750833927938_1447427985293547,"TODAY - TUESDAY, OCT. 24
BOYS VARSITY SOCCER - REGIONAL GAME
6:00 P.M. - BISHOP STADIUM
ADMISSION: $6 ADULTS; $5 STUDENTS

GO INDIANS!",,status,,2017-10-24 08:20:25,4,1,0
527750833927938_1443145625721783,"MHS Musical - Hello Dolly
November 5 - 2:30 p.m.
November 7, 9, 11 - 7:00 p.m.
Prices:  Students - $5.00
            Adults - $7.00
You can order your tickets by calling  785-587-2100 ext. 8297 or at the door.",,photo,https://www.facebook.com/383Indians/photos/a.719860491383637.1073741828.527750833927938/1443145412388471/?type=3,2017-10-19 10:57:16,15,1,4
527750833927938_1442666875769658,MHS IPS,,photo,https://www.facebook.com/383Indians/photos/a.1381176288585384.1073741831.527750833927938/1442666845769661/?type=3,2017-10-18 20:17:18,38,1,2
527750833927938_1440750579294621,It's not too late to get signed up for this Friday's Career Exploration Day! Students -- Get a jump start on your future career - explore some exciting businesses in our area!,USD 383: Manhattan High School,photo,https://www.facebook.com/383Indians/photos/a.719860491383637.1073741828.527750833927938/1428363037200042/?type=3,2017-10-16 13:56:57,4,0,0
527750833927938_1440542725982073,"MHS Cyborg Indians will have a fundraiser tonight from 5:00 p.m. - 8:00 p.m. at Cox Bros BBQ.  10% of all proceeds will be donated to the MHS Robotics Team.  Come out and Dine on some good slow smoked, genuine barbecue.",,status,,2017-10-16 09:07:42,3,0,6
527750833927938_1439949196041426,MHS VOLLEYBALL TEAM,,photo,https://www.facebook.com/383Indians/photos/a.1381176288585384.1073741831.527750833927938/1439949176041428/?type=3,2017-10-15 14:35:20,34,0,1
527750833927938_1439306512772361,,Manhattan Area Technical College,photo,https://www.facebook.com/manhattantech/photos/a.10150580257987661.403506.48391077660/10155795491787661/?type=3,2017-10-14 20:51:33,2,0,0
527750833927938_1439091319460547,Congratulations to MHS XC team. LEAGUE CHAMPS.,,photo,https://www.facebook.com/383Indians/photos/a.1381176288585384.1073741831.527750833927938/1439091249460554/?type=3,2017-10-14 15:05:10,62,0,1
527750833927938_1438140832888929,"Wendy Howard's class enjoying the sun in the courtyard as they read ""To Kill a Mockingbird.""",,photo,https://www.facebook.com/383Indians/photos/a.719860491383637.1073741828.527750833927938/1438140269555652/?type=3,2017-10-13 15:27:32,15,0,0
527750833927938_1437352729634406,Well done,,photo,https://www.facebook.com/383Indians/photos/a.1381176288585384.1073741831.527750833927938/1437352696301076/?type=3,2017-10-12 18:53:16,6,0,0
527750833927938_1437233242979688,MHS AP SPANISH,,photo,https://www.facebook.com/383Indians/photos/a.719860491383637.1073741828.527750833927938/1437233066313039/?type=3,2017-10-12 15:49:03,19,2,0
527750833927938_1436242876412058,"The road closure at Allen/Casement will cause some transportation issues for MHSW, MHSE, EMS and Northview students who ride the bus in this area. The closure will happen tomorrow - Oct. 12 - after morning bus routes are completed. Our Transportation Department is working on re-routing buses, so if your student(s) rides a bus on a route affected by this change, please check their backpack for additional information.

We anticipate that this will cause buses to run late for a few days while traffic adjusts to the intersection closure.","City of Manhattan, Kansas - Municipal Government",photo,https://www.facebook.com/Cityofmanhattan/photos/a.409505572340.196065.78413272340/10154843565482341/?type=3,2017-10-11 13:28:13,0,0,0
527750833927938_1435412993161713,"MHS CHOIR CONCERT FOR WEDNESDAY, OCTOBER 11 HAS BEEN CANCELLED",,status,,2017-10-10 14:46:24,0,0,0
527750833927938_1434762033226809,An email from Mr. Pape has been sent out about the choir concert on Oct 11 as it has been CANCELLED..... will be rescheduled for a later date. We will update you when we get the date. Thank you.,,status,,2017-10-09 20:24:04,2,0,0
527750833927938_1434752369894442,,Photos from USD 383: Manhattan High School's post,photo,https://www.facebook.com/383Indians/photos/a.1381176288585384.1073741831.527750833927938/1434752299894449/?type=3,2017-10-09 20:02:21,2,0,0
527750833927938_1432617420107937,The Silver Trophy stays in Manhattan. Great job Indians.,,status,,2017-10-07 09:19:51,74,0,0
527750833927938_1431034133599599,"TIME CHANGE FOR MHS FOOTBALL GAME ON OCT. 6, 2017
MHS VS. JUNCTION CITY
THE START TIME WILL BE AT 6:00 P.M. GATES WILL OPEN AT 4:30.",,status,,2017-10-05 14:33:55,4,4,8
527750833927938_1428532637183082,"If you are looking for school service hours, sign up to help at the last home Football game concession stand this Friday night.  Sign up with Mr. Duntz at West Campus in the counseling office.",,status,,2017-10-02 14:16:09,0,0,0
527750833927938_1428511397185206,"If you would like to receive a Thanksgiving and/or Christmas basket from the Flint Hills Breadbasket, the sign-up dates are:  October 10, 11, 12, 17, 18, 19.; December 5, 6, 7 from 2:00 to 3:30 p.m.  You will need to bring proof of address (within 30 days), proof of all household members, and proof of all income in the household.  The sign-ups will be at The Flint Hills Breadbasket.  The Thanksgiving Basket will be distributed at the Breadbasket on November 20th and the Christmas Basket will be distributed on December 18th.  Household income must be below maximum income guidelines, stated below.

Household Size                   Maximum Gross Income
      1                                        $1,307
      2                                        $1,760
      3                                        $2,213
      4                                        $2,665
      5                                        $3,118
      6                                        3,571",,status,,2017-10-02 13:44:37,1,0,5
527750833927938_1428363270533352,"The next Career Exploration Day is Friday, October 20. We will be touring 3 area businesses  - Florence Manufacturing, Via Christi Health and GTM - to learn about their business and the variety of jobs related to each business. Email Katie Ball at katieba@usd383.org to get signed up!",,photo,https://www.facebook.com/383Indians/photos/a.719860491383637.1073741828.527750833927938/1428363037200042/?type=3,2017-10-02 10:25:07,2,0,8
527750833927938_1425990424103970,"Come support the Indian Volleyball team and the fight against cancer on Saturday, October 7th for the MHS Invitational Volleyball Tournament.  The volleyball team will be selling Dig Pink-t-shirts during both lunches with the procedures going to cancer research.",,status,,2017-09-29 15:36:24,1,0,1
527750833927938_1425912910778388,"DSGP VOLUNTEER OPPORTUNITY:
Little Britches is a twice-a-year children's sales event.  We run on volunteers and would love to have you pitch in and earn some volunteer hours!
WHAT: Little Britches Consignment Sale
WHEN: Saturday, October 7
WHERE:  Kansas National Guard Armory - 721 Levee Dr
SHIFT OPTIONS:  12-3 PM OR 12-6 PM**
**If neither shift time works for you, contact us at lbsales@cox.net and we'll find a better time for you.  www.littlebritchessales.com",,status,,2017-09-29 13:53:45,0,0,0
