,word_neg,freq_neg
269,wilton,2
386,unknown,2
854,somehow,2
273,production,2
274,minute,2
466,sure,2
385,script,2
279,might,2
280,non,2
737,several,2
288,mention,2
790,world,2
294,gets,2
835,apart,2
313,group,2
202,acts,2
111,situations,2
597,approach,2
62,second,2
586,ways,2
127,plots,2
669,interest,2
587,away,2
137,next,2
138,doubt,2
139,music,2
671,waste,2
1004,actor,2
142,recommend,2
673,wants,2
674,life,2
591,written,2
677,fire,2
149,teen,2
946,head,2
152,started,2
50,ryan,2
542,teens,2
46,turns,2
1000,dying,2
646,alone,2
66,makers,2
564,ignored,2
985,deep,2
573,lion,2
982,circus,2
656,devil,2
651,blonde,2
978,play,2
78,goes,2
102,boy,2
103,great,2
75,vampire,2
120,family,2
108,bratty,2
109,jackie,2
110,creepy,2
581,wears,2
994,awhile,2
115,involves,2
117,named,2
995,shooting,2
559,shots,2
45,wooden,2
986,dog,2
940,bored,2
1034,dvd,2
1029,ghost,2
180,laughter,2
608,points,2
183,give,2
522,black,2
692,sit,2
16,kutcher,2
612,premise,2
28,brown,2
625,barely,2
7,manages,2
697,ugly,2
617,come,2
908,range,2
511,find,2
905,side,2
526,watching,2
689,honest,2
166,car,2
537,cannot,2
163,town,2
533,hostage,2
164,hour,2
32,far,2
635,comes,2
39,formula,2
652,writing,1
638,liked,1
640,tough,1
626,quiet,1
754,cartoon,1
753,totally,1
636,compressed,1
649,learning,1
624,extracts,1
623,fault,1
763,cheek,1
653,acolytes,1
650,sequences,1
772,mother,1
751,moving,1
637,suggest,1
622,restaurant,1
750,moment,1
643,sweet,1
755,ottenbreit,1
644,irresponsible,1
645,except,1
766,object,1
765,roughly,1
767,picks,1
634,los,1
632,let,1
769,person,1
631,receives,1
630,disappointment,1
770,melodramatic,1
639,archetypical,1
647,simply,1
648,likes,1
760,traps,1
761,charges,1
629,connection,1
642,appeared,1
757,early,1
628,overrated,1
641,point,1
700,behavior,1
749,existent,1
654,speak,1
716,expressions,1
688,spirit,1
717,someone,1
687,hardcore,1
685,lives,1
719,ambient,1
684,kudos,1
720,ready,1
721,undiagnosed,1
722,mediocre,1
683,decrepit,1
682,silencer,1
724,different,1
726,doctor,1
727,perhaps,1
715,player,1
714,couples,1
713,harpy,1
695,value,1
703,imdb,1
698,near,1
774,chemistry,1
704,voice,1
696,air,1
705,skirts,1
706,inherits,1
712,gel,1
694,budget,1
707,actresses,1
693,affirm,1
708,likable,1
709,hoping,1
691,acrobatics,1
681,finale,1
680,gas,1
679,offered,1
662,tiny,1
744,enjoyment,1
745,boo,1
665,beer,1
664,friendly,1
699,smart,1
663,quickly,1
746,evil,1
742,fairly,1
747,hand,1
660,gratuitous,1
658,howard,1
657,billing,1
655,posesses,1
748,director,1
743,used,1
741,week,1
730,admit,1
672,incompetent,1
731,trip,1
678,ages,1
676,eastern,1
732,forehead,1
675,families,1
733,strange,1
734,angered,1
667,slowly,1
735,unfortunate,1
736,viewing,1
670,watchable,1
739,conflict,1
668,change,1
740,european,1
773,frizzy,1
0,managed,1
775,spend,1
943,naturally,1
945,survives,1
947,buy,1
948,complete,1
949,happen,1
950,hildegard,1
951,robert,1
952,hear,1
953,gore,1
954,threaten,1
955,line,1
958,neighboring,1
959,pull,1
961,builds,1
962,strasberg,1
963,redeemed,1
964,wish,1
965,bargain,1
966,tell,1
967,excitement,1
968,record,1
969,nicest,1
970,dirty,1
971,mature,1
944,questionable,1
942,uncontrollable,1
974,piece,1
941,war,1
914,deranged,1
915,seeing,1
916,equally,1
917,sob,1
918,facility,1
919,image,1
920,vacation,1
921,freaked,1
922,strip,1
923,worker,1
925,shoots,1
926,nowadays,1
927,rely,1
928,rushed,1
929,sequence,1
930,knowing,1
931,hey,1
933,fight,1
934,start,1
935,watched,1
937,house,1
938,forward,1
939,call,1
972,nerdy,1
975,nerds,1
911,commit,1
1011,reckless,1
1015,hasslehoff,1
1016,surprise,1
1017,forgettable,1
1018,felt,1
1020,consideration,1
1022,meaning,1
1023,important,1
1024,brightens,1
1025,finaly,1
1026,rolling,1
1027,sides,1
1028,died,1
1030,natalie,1
1031,disbelief,1
1032,wife,1
1033,ranks,1
1035,psychopath,1
1037,holes,1
1038,together,1
1039,intentionally,1
1040,philosophize,1
1041,text,1
1045,sounded,1
1014,star,1
1010,thousand,1
976,sloppy,1
1009,becomes,1
977,proved,1
979,deaths,1
980,raging,1
981,nudity,1
983,handyman,1
984,meaningless,1
987,twist,1
988,imagination,1
989,beats,1
990,warning,1
991,held,1
992,walks,1
993,believable,1
996,check,1
997,effected,1
998,intrepid,1
999,snappier,1
1002,deadly,1
1003,offensive,1
1005,reality,1
1006,setting,1
1007,role,1
1008,sick,1
912,tongue,1
910,dialog,1
776,left,1
807,lets,1
809,adoption,1
810,treatment,1
811,innocent,1
812,reason,1
813,actors,1
814,fares,1
816,homework,1
817,real,1
819,lacking,1
823,asleep,1
825,jekyll,1
826,redeem,1
827,formulaic,1
620,accident,1
831,immediately,1
833,progresses,1
834,lady,1
836,promising,1
837,semi,1
838,spine,1
839,patrick,1
840,officer,1
842,anti,1
808,warms,1
806,aloha,1
844,works,1
805,theater,1
777,alvin,1
778,cameo,1
779,gangs,1
780,yen,1
781,brisbane,1
783,swearing,1
784,rest,1
785,ideas,1
786,profoundly,1
787,grader,1
788,kill,1
789,wifey,1
791,followed,1
793,yet,1
794,halfway,1
795,flashlight,1
796,adding,1
797,generous,1
799,grounded,1
800,thinking,1
801,hated,1
802,terrorized,1
803,characterization,1
843,starred,1
845,essential,1
907,dependency,1
880,either,1
882,football,1
883,realise,1
884,power,1
885,sensible,1
886,dropped,1
887,betrayal,1
888,burn,1
889,slut,1
890,lasts,1
891,uneasy,1
892,nowhere,1
893,santa,1
894,eye,1
895,substandard,1
896,drolly,1
897,asks,1
899,hackneyed,1
900,universe,1
901,disabilities,1
902,ordeal,1
903,drag,1
904,flake,1
906,angeles,1
881,destroys,1
879,knife,1
846,italian,1
878,leader,1
847,right,1
848,climactic,1
849,often,1
850,deal,1
852,sends,1
853,church,1
855,hair,1
856,clucks,1
857,added,1
858,escape,1
860,guess,1
861,pale,1
862,thinks,1
864,throughout,1
866,operation,1
867,bottom,1
868,demonstrates,1
871,constantly,1
872,adoptive,1
874,asking,1
875,provides,1
876,noose,1
877,recorder,1
621,talented,1
523,pretty,1
619,terror,1
199,opposed,1
201,rather,1
203,hillbillys,1
204,witchery,1
205,freezer,1
206,brain,1
207,write,1
208,beware,1
209,answer,1
210,instead,1
211,comedy,1
213,tried,1
215,sneak,1
216,came,1
217,soundtrack,1
222,costner,1
223,unfriendliness,1
224,guys,1
226,stress,1
228,attempt,1
229,effective,1
231,coat,1
232,register,1
233,overnight,1
200,noises,1
197,huge,1
158,excuse,1
195,attract,1
160,rubbish,1
161,hold,1
162,women,1
165,strain,1
168,sucks,1
169,cant,1
170,worn,1
171,believes,1
172,counselor,1
174,believability,1
175,anywhere,1
176,obvious,1
177,thin,1
178,making,1
179,personality,1
181,example,1
182,imitation,1
184,distracted,1
185,awesome,1
186,laughs,1
187,stupefying,1
189,high,1
192,sense,1
234,assuredly,1
235,tale,1
236,perform,1
237,crazed,1
265,police,1
266,preventable,1
268,somewhere,1
271,late,1
272,harmless,1
275,bypass,1
276,blaxploitation,1
277,suspension,1
278,main,1
283,drama,1
284,nod,1
285,weakness,1
287,slight,1
289,repulsive,1
292,cage,1
293,day,1
295,always,1
296,realistic,1
297,crucified,1
298,yakking,1
299,arrow,1
301,went,1
302,assume,1
264,complicate,1
263,style,1
262,chemical,1
248,untold,1
238,upside,1
239,hasselhoff,1
240,seems,1
241,fan,1
242,stewart,1
243,dream,1
244,playing,1
245,talk,1
246,cute,1
247,freckley,1
249,kick,1
261,trifle,1
250,welcomed,1
251,nuts,1
252,wishing,1
253,years,1
254,performance,1
255,including,1
256,looks,1
258,smiling,1
259,still,1
260,bunch,1
159,carrying,1
157,portman,1
618,thank,1
36,choice,1
40,awful,1
41,encounter,1
42,cool,1
43,leads,1
44,school,1
47,inabilities,1
48,shock,1
51,grandfather,1
52,leave,1
53,item,1
54,coincidences,1
55,sarandon,1
56,flick,1
57,ten,1
58,porn,1
59,teenage,1
60,hildy,1
61,mail,1
63,noise,1
65,uncomfortable,1
68,plays,1
69,sub,1
70,aloofness,1
38,jack,1
35,blinding,1
156,hurt,1
34,stalkers,1
2,dance,1
3,copy,1
4,personally,1
5,suspenseful,1
6,illustrated,1
8,controversial,1
9,skin,1
10,mansion,1
11,shot,1
12,psycho,1
13,hate,1
15,causes,1
17,horrificly,1
19,electricity,1
20,disgusting,1
21,nose,1
22,humm,1
23,discovering,1
24,smile,1
25,sorry,1
26,enjoying,1
27,worth,1
31,murderous,1
72,religious,1
73,saw,1
74,cooking,1
76,wayward,1
121,suddenly,1
122,julie,1
123,explained,1
124,bloody,1
125,brought,1
126,refuse,1
128,attendant,1
131,crap,1
134,positive,1
135,direction,1
140,debbie,1
141,wondering,1
143,damage,1
144,tape,1
145,chicken,1
146,preview,1
147,climax,1
148,today,1
150,shine,1
151,door,1
153,share,1
154,prints,1
155,apparent,1
119,dire,1
114,makes,1
113,weird,1
89,forgive,1
77,sixpack,1
79,new,1
80,nurse,1
81,course,1
83,unintentionally,1
84,body,1
85,turmoil,1
86,men,1
87,witchy,1
88,equals,1
90,water,1
107,credits,1
91,netzero,1
92,filmed,1
93,focused,1
94,oars,1
95,others,1
96,cult,1
97,noir,1
100,stmd,1
105,daughter,1
106,cornered,1
303,uninteresting,1
304,button,1
305,glasses,1
508,attempts,1
510,fear,1
513,based,1
515,directly,1
516,cousins,1
517,less,1
518,locals,1
519,vegence,1
1,rating,1
524,factor,1
525,flighty,1
527,local,1
528,sews,1
529,loved,1
530,jacqueline,1
531,granddaddy,1
535,geek,1
536,enters,1
538,actress,1
539,words,1
541,trust,1
543,chimney,1
544,romantic,1
545,village,1
509,gruesome,1
507,embraceable,1
306,correctional,1
505,cheap,1
473,mouth,1
474,plan,1
475,eaten,1
476,net,1
478,knef,1
479,extremely,1
480,screenwriter,1
482,forever,1
483,owns,1
485,performances,1
486,professor,1
488,antagonist,1
489,drive,1
490,face,1
491,looked,1
494,entertaining,1
495,wow,1
497,imaginative,1
499,atmosphere,1
500,otherwise,1
501,particularly,1
503,please,1
504,agreed,1
547,trucks,1
548,ended,1
549,nicely,1
550,misguided,1
588,gentleman,1
589,artificial,1
590,mud,1
592,identification,1
593,finger,1
594,probably,1
596,dummies,1
598,bought,1
599,arrival,1
600,ends,1
602,creating,1
603,parent,1
604,disgraceful,1
605,fearless,1
606,screen,1
607,attention,1
609,however,1
610,killing,1
611,add,1
613,hurts,1
614,competent,1
615,cousin,1
616,musical,1
585,capacity,1
584,said,1
582,planet,1
566,decides,1
551,hinges,1
552,dishing,1
553,rapper,1
554,absurdly,1
555,calling,1
556,naked,1
560,rival,1
561,release,1
562,obscure,1
563,widow,1
567,miserably,1
580,best,1
568,overwhelm,1
569,intelligence,1
570,puddle,1
571,fantastically,1
572,proclaims,1
574,harmed,1
575,college,1
577,holding,1
578,corrupt,1
579,cold,1
472,visitors,1
471,techniques,1
470,knew,1
391,sargent,1
347,plea,1
349,laughable,1
354,acrobatty,1
357,butterflies,1
360,roaring,1
361,leading,1
362,loud,1
365,emotion,1
367,seemed,1
368,hangs,1
369,saving,1
370,accent,1
372,getting,1
374,weak,1
375,fast,1
377,open,1
378,cheesy,1
379,seizures,1
381,toy,1
383,silent,1
384,likely,1
387,top,1
388,recruiting,1
346,york,1
345,completely,1
344,fourteen,1
322,troll,1
307,nave,1
308,lagging,1
309,badly,1
310,series,1
314,engaging,1
315,society,1
316,wade,1
317,girl,1
318,avoided,1
319,blinded,1
323,deals,1
342,free,1
326,defend,1
327,since,1
330,settle,1
331,health,1
332,reader,1
334,pestering,1
335,red,1
337,shut,1
339,turning,1
341,revenge,1
389,twisted,1
393,needed,1
469,price,1
394,passed,1
437,picked,1
439,kinds,1
440,modern,1
441,mind,1
442,teenagers,1
445,suspense,1
446,need,1
450,painful,1
451,zero,1
453,convenient,1
454,latter,1
455,isolated,1
456,wandered,1
457,sound,1
458,costs,1
460,forces,1
461,flicks,1
462,sherry,1
463,subject,1
464,bitching,1
465,ironically,1
467,hires,1
468,though,1
435,mini,1
434,screenplay,1
433,prankster,1
415,inventor,1
397,headache,1
401,sloppily,1
402,option,1
403,relationship,1
404,centered,1
405,hotel,1
406,scenery,1
410,uscg,1
412,practiced,1
414,intrinsically,1
416,spoiler,1
432,wandering,1
417,kind,1
418,nagging,1
419,kindly,1
422,bother,1
423,dialogue,1
425,clawing,1
426,spirited,1
428,light,1
430,yawner,1
431,feeling,1
1046,songs,1
