FAKEID,Y3defect,Y2G5,Y2G4,Y2G3,Y2G2,Y2G1,Y2price,YEARS,BACKER,AGE,INCOME,GNDR,OWNHOME,SPORT,PCTMARR,HOMEVAL
221P06OH,,0,0,1,1,1,15,8,1,68,1,0,1,0,74,166
450Q17PL,,1,1,1,0,1,25,6,1,61,5,0,1,0,63,90
596V69UH,,0,1,0,0,1,25,8,0,62,4,1,1,0,52,59
551Z26JT,,0,1,1,1,1,15,5,0,73,1,1,1,0,37,57
539K98BX,,0,0,1,1,0,15,2,0,63,3,1,0,0,56,128
978E35SB,,0,0,1,0,0,25,9,0,83,5,1,1,0,64,54
809U07DF,,0,1,1,1,1,25,3,0,42,6,1,1,0,59,56
591B87CF,,1,1,1,0,0,15,8,1,80,3,0,1,0,57,70
371V69BD,,0,1,0,0,0,25,10,0,63,1,1,1,0,53,50
867E65TX,,0,0,0,1,0,25,1,0,63,3,0,0,0,13,0
751X29SP,,0,0,1,1,1,25,11,1,63,1,0,1,0,60,50
443H38GK,,0,1,0,1,1,15,3,1,63,6,1,1,0,59,46
399Y87BR,,1,1,1,0,1,50,11,1,71,6,1,1,0,61,68
100M65UR,,0,1,1,0,1,15,1,0,34,3,1,1,0,56,207
584C86WP,,0,1,0,1,0,25,9,1,63,3,0,0,0,30,139
450D88XH,,0,0,0,1,0,25,5,0,63,3,1,0,0,47,78
077V52VR,,0,1,0,0,0,15,3,0,76,0,0,1,0,63,75
954J39OT,,0,0,1,1,0,15,1,0,63,2,0,1,0,54,74
072N87YE,,0,1,0,1,0,15,11,1,96,6,0,1,0,54,199
181V71AA,,0,0,0,1,1,25,8,1,94,0,0,1,0,61,72
490G98QP,,0,0,1,1,1,25,7,0,38,3,0,1,0,69,119
963K46SR,,0,0,1,0,0,50,7,0,90,3,1,0,0,73,97
487F51KL,,1,0,1,1,1,15,6,1,64,0,0,1,0,53,55
182G33CH,,0,1,1,0,1,25,6,1,55,0,1,1,0,54,68
004F10DP,,0,0,1,1,0,15,1,0,46,3,0,1,0,67,105
660U80SS,,0,1,0,1,0,25,6,1,60,3,0,1,0,53,62
004Z74NR,,1,1,0,1,0,25,9,1,60,1,1,1,0,74,95
373S02FV,,0,1,0,1,1,25,4,0,63,3,1,0,0,75,162
091D98EX,,0,1,1,0,1,15,5,0,81,0,0,1,0,39,64
277E58SN,,0,1,0,1,1,15,4,1,75,3,1,1,1,68,122
620O47NE,,0,0,0,1,1,15,3,0,42,4,0,1,0,59,118
452H20TD,,0,0,1,1,1,15,11,1,84,2,1,1,0,59,186
392R40FN,,0,1,0,1,0,15,6,0,67,4,0,1,0,63,131
121I86IG,,0,0,0,1,0,15,1,1,54,4,1,1,0,66,51
358B94AA,,0,0,1,1,0,25,2,0,72,2,1,1,0,64,85
541G34ZS,,0,1,0,0,0,25,1,0,63,0,1,1,0,64,86
670J45JU,,0,0,0,1,1,25,7,0,63,3,0,0,0,88,154
028W87HN,,1,0,0,1,0,50,9,0,63,3,0,0,0,68,73
525Q16SH,,0,1,0,1,0,15,10,1,89,1,0,0,0,48,72
174N27GA,,0,1,0,0,1,25,1,0,63,3,1,0,0,58,43
145E05OP,,0,1,1,0,1,15,1,0,60,4,0,1,0,69,61
757K37TN,,1,1,0,1,0,25,4,1,48,2,1,1,0,43,34
841Z54AQ,,0,0,0,1,0,15,2,0,63,0,0,1,0,52,110
452P00TG,,0,1,0,0,1,15,5,0,82,4,1,1,0,84,116
242Q85GY,,0,0,0,1,0,25,1,0,31,4,1,1,1,47,274
432G70GN,,0,0,0,1,1,25,3,0,64,3,0,1,0,66,139
968W35JQ,,0,1,0,1,1,25,9,0,70,4,0,1,0,64,83
457Y64PZ,,0,0,0,1,1,15,9,0,76,0,1,1,0,38,31
945C79BF,,0,1,0,0,1,25,11,1,57,4,1,1,0,53,52
949J77DW,,0,1,0,0,1,15,3,0,63,6,1,1,0,71,65
540J39XC,,0,1,0,1,0,15,4,0,65,0,0,1,0,65,27
516W82YS,,0,0,1,1,0,15,1,0,48,3,0,1,0,72,95
797K70TX,,0,1,1,1,0,15,11,1,85,1,0,1,0,54,59
241T60GE,,0,1,0,0,1,25,5,0,70,3,0,0,0,65,42
305U30UM,,0,0,0,1,0,50,2,0,66,0,0,1,0,51,63
181T18VS,,0,1,0,1,0,15,2,0,63,3,0,0,0,72,81
878U51PL,,0,0,1,0,1,15,4,0,63,3,1,1,0,42,71
780O82QU,,1,1,0,1,0,25,4,0,63,3,0,0,0,48,103
608H80DI,,1,1,1,0,1,50,9,1,47,2,0,1,0,63,45
624S95AV,,1,0,0,0,1,25,11,0,88,1,0,1,0,57,57
975Z97YM,,0,1,0,0,1,15,3,0,69,2,0,1,0,59,56
940X37XH,,1,1,1,1,1,25,9,0,85,6,1,1,0,67,231
422I06ER,,0,1,0,1,1,15,6,1,63,3,0,0,0,70,178
701I63PZ,,0,1,1,0,0,50,4,0,63,3,1,0,0,47,169
828N73YC,,0,1,0,1,1,15,10,1,63,1,0,1,0,59,50
274Z66FB,,0,1,0,0,0,25,8,0,77,5,0,1,0,49,106
649P39HO,,0,0,1,0,0,15,7,1,80,2,1,1,0,56,37
296K65RM,,0,0,1,0,1,50,8,0,38,4,0,1,0,65,149
552R69GQ,,0,1,0,1,1,25,9,1,63,3,1,0,0,57,77
414P25OD,,1,1,1,1,1,25,6,0,63,3,1,0,0,59,106
304G31YM,,0,1,0,0,1,15,4,0,52,3,1,1,1,56,67
046D99HJ,,0,1,0,1,1,25,7,1,56,3,1,0,0,37,116
381Z53WX,,0,0,1,0,0,15,3,0,52,2,0,1,0,71,104
190F61SW,,0,0,0,1,0,15,2,0,52,5,0,1,0,65,143
372K46KN,,1,0,0,0,1,25,8,1,85,3,1,1,0,66,154
488Y37QG,,0,0,1,0,0,15,7,0,63,3,0,0,0,61,116
924H06TG,,1,0,0,1,0,25,7,1,63,3,1,0,0,64,82
846E95KF,,0,1,0,0,1,25,7,0,45,3,0,0,0,62,51
876I92GD,,1,0,1,0,0,50,11,1,85,0,0,1,0,69,87
181X89YI,,0,1,1,0,1,25,3,0,63,3,0,0,0,0,0
972R38MI,,0,1,0,0,1,15,5,1,44,1,1,1,0,49,103
686L86FM,,0,1,0,1,1,25,7,1,84,3,1,1,0,58,103
690J40EG,,1,1,1,0,1,25,1,0,51,3,0,0,0,65,570
763O95OC,,0,1,1,1,1,25,8,1,64,1,0,1,0,25,271
868K30CR,,0,1,0,0,1,15,4,0,32,3,0,1,0,47,60
997V48QN,,1,0,0,0,1,15,11,1,81,1,0,1,0,66,45
347V67VA,,0,1,1,1,1,15,1,1,63,3,0,0,0,62,74
477O63KH,,1,0,1,1,0,15,1,1,63,3,1,0,0,51,168
844G43MU,,0,0,0,1,1,15,10,0,75,1,0,1,0,49,274
799B65KJ,,0,1,0,1,0,25,11,1,67,3,0,0,0,52,73
023A22OK,,0,1,1,0,1,15,4,0,82,3,0,1,0,45,405
688N88KE,,0,1,1,0,0,15,9,1,96,0,0,1,0,57,41
275T16PF,,1,0,0,0,0,25,7,0,63,0,1,1,0,53,73
389V07XZ,,0,1,0,0,1,15,3,1,62,5,1,1,0,60,48
476M36VB,,0,1,0,1,1,50,5,0,75,1,0,1,0,48,61
260Y54FT,,0,1,0,0,1,25,5,0,63,4,0,1,0,65,131
320U54WW,,1,1,0,1,1,15,5,1,54,3,0,1,0,62,108
732L38GX,,0,0,1,0,0,15,10,1,70,5,0,1,0,47,47
952E29ZI,,0,1,0,0,1,15,1,0,46,3,0,1,0,57,57
664I88XG,,0,0,0,1,1,15,4,0,63,3,0,0,0,48,104
004W13EA,,1,1,0,1,1,15,11,1,81,0,0,1,0,67,81
250I41LJ,,0,1,0,1,0,15,9,1,60,5,0,1,0,69,68
941C89CO,,1,0,0,0,0,15,11,1,63,0,1,1,0,59,60
307S99FV,,0,1,0,1,0,15,5,0,63,0,0,1,0,25,27
294E94ZX,,0,0,1,1,1,15,5,1,69,2,1,1,0,60,45
146Q28FV,,0,1,1,0,1,25,7,1,74,6,1,1,0,60,125
673A61JL,,0,1,1,0,0,25,9,1,71,1,1,1,0,57,55
447I28ZF,,1,1,1,1,0,25,6,1,76,4,1,1,0,67,235
255V47UD,,0,0,1,0,1,15,9,1,44,3,0,0,0,53,55
603F06SQ,,0,1,0,0,1,15,1,0,92,3,0,1,0,46,117
074C13NV,,0,1,1,0,0,50,7,0,64,4,1,1,0,67,66
014V33IN,,1,0,1,0,1,15,4,1,44,4,1,1,0,70,43
297I61BZ,,0,1,1,0,1,25,11,1,84,3,0,0,0,62,196
715X29DB,,0,1,0,0,1,25,1,0,63,3,1,0,0,0,0
001M79IJ,,0,1,0,1,0,25,5,1,52,1,1,1,0,54,57
594G49AD,,0,0,0,0,1,15,1,1,79,3,1,1,1,69,79
226G20AV,,0,1,0,0,1,25,6,1,63,3,0,0,0,38,65
728H58MZ,,0,0,1,0,1,50,3,0,32,2,0,1,0,56,50
195X84AU,,0,0,0,1,0,15,5,1,28,4,0,1,0,57,296
835I77KG,,0,0,0,0,1,15,3,0,63,3,0,0,0,75,111
219D93LL,,1,1,0,1,1,15,11,1,63,1,1,1,0,55,39
401E35LA,,0,0,1,1,0,15,11,1,77,0,1,1,0,58,56
305G27YG,,0,1,0,0,0,15,3,0,61,4,1,1,0,53,60
163R65AX,,0,1,0,0,0,15,3,1,63,0,1,1,0,67,147
956F65KY,,0,0,1,1,1,25,9,1,35,5,1,1,0,65,78
601T31JB,,0,1,1,1,1,15,5,0,71,5,1,1,0,72,189
938Z38RE,,0,1,0,1,1,15,10,1,74,1,0,1,0,47,105
910N12IL,,0,1,0,1,1,15,4,1,63,3,0,0,0,60,226
045Q13IH,,1,1,1,1,1,25,6,1,56,1,1,1,0,62,74
383E70DE,,0,1,1,1,0,15,10,0,49,2,0,1,0,60,66
414Z85CT,,0,1,0,0,1,15,10,1,63,0,0,1,0,70,74
259H05ZZ,,1,1,0,0,0,25,5,1,72,1,1,1,0,53,37
989Y21MG,,1,0,0,0,0,50,10,1,65,1,0,1,0,28,234
905T33RH,,0,0,0,0,1,25,1,1,72,2,0,1,0,3,342
412R17SQ,,0,1,0,1,1,15,9,1,63,3,0,0,0,54,115
003T33DB,,0,1,1,1,0,15,10,1,82,1,1,1,0,62,45
099Z65KH,,0,1,1,0,0,25,7,0,79,6,0,1,0,0,0
425B94GH,,0,0,1,0,1,25,5,0,84,1,0,1,0,41,61
300S64ZA,,1,1,1,0,1,15,3,0,63,3,0,0,0,58,48
227E13GO,,0,1,1,1,0,15,3,0,76,1,0,1,0,43,235
119U50DV,,1,1,0,0,0,15,7,1,71,6,0,1,0,62,182
890Q01MS,,0,0,1,1,0,25,3,0,38,1,1,1,0,51,58
445A15AN,,0,1,0,0,1,15,7,0,40,2,0,1,0,68,160
295Z39BF,,0,1,1,0,1,15,6,1,54,1,0,1,0,42,137
646F04XC,,0,1,1,1,1,15,3,0,66,2,0,1,0,0,0
008T52WR,,1,1,1,0,1,15,11,1,77,3,0,1,0,66,102
318L87WT,,0,0,0,1,1,15,5,0,63,3,1,0,0,57,44
123J08KL,,1,1,0,1,1,15,7,0,72,3,0,0,0,66,78
290W65MU,,1,1,1,1,1,15,8,1,85,2,1,1,0,64,164
616T68OE,,0,1,1,1,1,15,8,0,63,3,1,1,0,67,139
471G98JF,,0,0,0,1,0,15,1,0,70,3,1,1,0,72,269
455Y83XI,,0,1,1,0,1,15,6,0,63,4,0,1,0,68,64
913X48UY,,1,0,0,1,0,25,3,0,63,3,0,0,0,38,120
276A66IL,,0,1,1,0,1,15,4,1,63,1,1,1,0,68,120
387V02PR,,0,0,0,1,1,50,9,0,91,3,0,0,0,58,127
928S13NH,,0,1,0,1,0,25,1,0,38,1,1,1,0,45,57
448M01UW,,0,1,0,1,1,15,5,0,55,4,0,1,0,58,55
153K98AB,,0,1,0,0,0,25,6,1,63,3,1,0,0,55,92
698K44QI,,0,1,1,1,0,15,7,0,63,1,0,1,0,10,0
013P90CX,,0,1,1,1,1,15,3,0,63,3,0,0,0,37,0
890C87AW,,0,1,1,0,1,25,9,0,79,0,0,1,0,56,44
124Y75GC,,0,1,0,1,1,15,4,0,51,4,1,1,0,75,30
158T49LS,,0,1,0,1,1,15,11,0,63,3,1,0,0,70,72
217B46GE,,0,1,1,0,0,15,11,1,46,2,1,1,0,48,57
189Y61PS,,0,1,0,0,0,25,3,0,66,0,0,1,0,17,134
373X86MF,,1,1,1,1,1,15,6,1,63,1,0,1,0,65,86
634N63SZ,,0,1,1,0,1,25,11,1,85,3,1,0,0,57,62
356M62XU,,0,0,1,1,0,15,5,0,62,1,1,1,0,63,63
745V39OL,,0,1,1,1,1,25,10,1,88,5,1,1,0,71,142
329D01ZM,,0,1,0,1,1,15,10,1,63,3,1,1,0,67,71
144O95QO,,0,1,0,0,1,15,5,0,73,2,1,1,0,53,137
130Q26AH,,0,1,0,1,1,25,1,0,74,3,1,0,0,76,64
956U60MJ,,0,0,1,1,0,25,7,0,63,4,0,1,0,47,94
093H78YO,,0,1,1,1,1,50,5,0,52,0,0,1,0,26,29
569A32OL,,0,1,0,0,1,15,1,0,83,3,1,0,0,63,51
480N62LZ,,0,0,1,1,0,15,7,0,70,0,0,1,0,45,34
353H51TI,,0,1,1,0,0,15,4,0,63,4,1,1,0,63,173
195W34QJ,,1,1,1,0,1,15,4,1,69,0,0,1,0,41,26
831U92SH,,0,1,1,0,1,25,5,0,75,2,0,1,0,46,217
441R09OK,,1,1,1,0,0,25,5,0,63,3,1,1,0,64,76
786B52IZ,,1,0,0,1,1,15,7,1,67,3,0,1,0,67,65
980S77GJ,,0,1,0,1,0,25,5,0,56,5,0,1,0,54,145
102Q13SR,,0,0,0,1,1,15,9,1,57,2,0,1,0,58,63
827V82PI,,1,0,0,0,0,15,11,1,72,3,0,0,0,35,90
135G91SV,,1,1,1,1,1,15,4,1,63,1,0,1,0,68,62
412E99PY,,0,1,0,1,0,15,1,0,63,3,0,0,0,74,104
232P18YL,,1,0,1,1,0,15,11,1,73,1,1,1,0,40,62
649A96HY,,0,1,1,0,1,15,4,0,74,1,1,1,0,33,111
465V24NO,,0,0,1,0,1,25,7,0,89,6,1,1,0,75,257
631R89FQ,,0,0,1,1,1,50,5,0,80,0,0,1,0,53,50
576A68GA,,0,1,0,0,0,15,4,1,63,3,1,1,0,71,75
575I71OL,,1,1,0,1,0,50,10,1,55,3,1,1,0,55,64
518C11RM,,0,1,1,1,1,25,9,0,56,4,1,1,0,57,138
112Y07FH,,0,1,0,0,0,25,7,0,63,4,0,1,0,66,50
150Z57AP,,0,1,0,0,0,15,4,0,50,4,0,1,0,64,130
152S93UQ,,0,1,0,0,0,15,3,0,63,3,1,0,0,47,42
994M37SQ,,0,1,0,0,0,15,8,0,74,4,0,1,0,56,102
810U07AP,,0,1,0,1,0,25,4,0,63,3,0,0,0,55,48
196J43HG,,0,0,1,1,1,25,5,1,34,4,0,1,0,58,79
278U04FL,,0,0,0,0,1,15,8,1,81,2,0,1,0,64,164
789H68ES,,1,1,0,1,1,15,10,1,63,1,0,1,0,45,75
659W69UD,,0,0,0,1,0,25,1,0,62,2,0,1,0,65,47
463K05BV,,0,0,0,1,0,15,1,0,63,1,0,1,0,56,493
519Y58YA,,0,1,1,0,1,25,4,1,63,4,0,1,0,54,48
910H37XR,,0,0,0,0,1,15,6,0,32,6,1,1,1,71,147
789P72ZR,,0,1,0,1,0,25,5,1,63,3,0,0,0,40,84
291J02PI,,0,0,0,0,1,15,7,0,73,3,1,1,0,60,106
832K77JR,,1,0,1,1,1,50,9,0,63,6,1,1,0,79,171
468Q55ZT,,0,0,0,1,1,15,11,1,86,2,1,1,0,74,144
357I19YK,,0,1,0,0,1,15,8,1,80,0,1,1,0,55,74
088Y10ZQ,,1,1,1,1,1,15,3,1,63,1,1,1,0,54,57
812Q79RW,,0,1,0,1,1,15,11,1,63,0,0,1,0,69,79
860U82TH,,1,1,0,1,1,15,3,1,64,2,1,1,0,70,55
929Q81CC,,0,0,1,1,1,15,9,0,26,1,0,1,0,51,426
892C19QD,,0,1,0,1,0,15,7,1,58,1,1,1,0,69,75
847S34UJ,,0,1,1,0,0,25,9,1,63,5,0,1,0,78,178
737N63SE,,0,0,0,1,1,25,11,0,77,0,1,1,0,53,45
283F66BS,,1,1,1,0,1,15,7,1,98,1,1,1,0,61,50
